nomor,tahun,judul,deskripsi,lokasi,status,detail_url,scraped_at
253,2007,Penyerobotan Tanah Warga oleh PT Simpang Raya,Pemerintah dan Warga ingin agar lahan terlantar milik PT. Cemerlang Abadi dicabut perpanjangan ijin HGU.,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/cm0tMkdtclBaVVE,2026-06-09T06:45:45.611020+07:00
254,1968,PT.Vale Mengubah Lahan Pemukiman Masyarakat Adat Karunsiâ€™e Menjadi Lapangan Golf.,Kemunculan perusahaan tambang di suatu wilayah menjadi fenomena bernuansa konflik berkaitan dengan pemanfaatan ruang antara perusahaan dengan masyarakat setempat yang terjadi di Luwu Timur. Konflik yang terjadi antara masyarakat adat To Karunsiâ€™e dengan PT. Vale Indonesia terkait masalah kepemilikan tanah pertambangan di Kabupaten Luwu Timur. Konflik terjadi antara masyarakat adat dengan PT.Vale Indonesia disebabkan PT.Vale telah menduduki lahan masyarakat adat to Karunsiâ€™e yang mengubah lahan pemukiman masyarakat adat menjadi lapangan golf.,Manufacture,Pertambangan,https://tanahkita.id/data/data/konflik/detil/Zk04Wld1VzdqLXc,2026-06-09T06:45:45.611020+07:00
255,2012,Penetapan wilayah Adat Tapong menjadi kawasan hutan Lindung,Penetapan wilayah Adat Tapong menjadi kawasan hutan Lindung dan kemudian rencana Pekebunan Kelapa sawit skala besar oleh PT. ASTRA Agro Lestari di kawasan hutan lindung tersebut,Hutan Lindung,Hutan Lindung,https://tanahkita.id/data/data/konflik/detil/R0d6VGljNmN0czg,2026-06-09T06:45:45.611020+07:00
256,1984,Penetapan Wilayah Kelola Rakyat Menjadi Wilayah  HGU PT. BULI,"Konflik ini dipicu oleh adanya penetapan wilayah kelola rakyat menjadi wilayah  HGU PT. BULI yang terletak di Desa Bila Riase, Kecamatan Pitu Riase.",Peternakan,Pangan dan Energi,https://tanahkita.id/data/data/konflik/detil/Y2tNZzdBejZJeDQ,2026-06-09T06:45:45.611020+07:00
257,2004,PTPN XIV Tidak Menepati Kesepakatan Mengembalikan Lahan Warga Wajo,"PT Perkebunan Nusantara (PTPN) XIV dituntut segera mengembalikan lahan warga Kecamatan Keera, Kabupaten Wajo, Sulawesi Selatan (Sulsel), sesuai kesepakatan bersama di Kantor Markas Kepolisian Daerah (Polda) Sulsel, Makassar, 30 April 2013. Selama ini, lahan warga yang diklaim milik PTPN, ditanami sawit. Dalam kesepakatan itu, proses pengembalian lahan melalui mediasi Pemerintah Daerah Kabupaten Wajo. Turut hadir pada pertemuan 30 April 2013 itu antara lain, perwakilan PTPN XIV, Polda Sulsel, Kejaksaan Tinggi Sulsel, BPN Sulsel, BPN Wajo, DPRD Wajo, Kodam VII Wirabuana, dan Pemerintah Sulsel, Asisten I Pemda Wajo, Polres Wajo, serta Kodim Wajo. Kesepakatan menjadikan lahan 2.000 hektar bisa dikelola warga hingga proses pengembalian tuntas. PTPN XIV juga menghentikan seluruh aktivitas perluasan dan penanaman di wilayah yang menjadi tuntutan warga.Pertemuan itu juga mengabulkan permintaan warga agar Polri dan TNI, netral dan tidak melakukan tindakan refresif kepada warga. Setelah lima bulan pertemuan terjadi belum ada realisasi dari PTPN.",PTPN,Perkebunan,https://tanahkita.id/data/data/konflik/detil/UUxqUmZOWGVMcDA,2026-06-09T06:45:45.611020+07:00
258,2007,Konflik antara PTPN XIV Dengan Serikat Tani Polongbangkeng Di Kecamatan Polongbangkeg Utara Kabupaten Takalar,"Konflik antara warga dengan PTPN XIV muncul tahun 2007. Saat sekitar 723 keluarga petani di sembilan desa di Kecamatan Polongbangkeng Takalar, menuntut perusahaan mengembalikan tanah petani yang dikuasai pemerintah sejak 1982, sekitar 4.500 hektar. Tuntutan petani cukup beralasan, karena penguasaan lahan PTPN berdasar pada hak guna usaha (HGU) selama 25 tahun berakhir 2004. Kenyataan, lahan ini tak juga diberikan kepada warga, pemilik lahan sejak awal. Warga mengaku tidak ingin memperpanjang kontrak karena nilai sangat rendah. Warga yang hidup di sembilan Desa Kecamatan Polongbangkeng, mayoritas dari pertanian dengan rata-rata kepemilikan lahan di bawah satu hektar. Tak jarang mereka harus merantau dan menjadi buruh karena tak memiliki lagi lahan di kampung halaman. Warga yang hidup di sembilan Desa Kecamatan Polongbangkeng, mayoritas dari pertanian dengan rata-rata kepemilikan lahan di bawah satu hektar. Tak jarang mereka harus merantau dan menjadi buruh karena tak memiliki lagi lahan di kampung halaman.",PTPN,Perkebunan,https://tanahkita.id/data/data/konflik/detil/R0c2ajZNTXRUbms,2026-06-09T06:45:45.611020+07:00
259,2009,Teror Penangkapan Masyarakat Adat Barambang Katute,"Nasib masyarakat adat Barambang Katute, di Desa Bonto Katute, Kecamatan Sinjai Borong, Kabupaten Sinjai, Sulawesi Selatan (Sulsel), makin tak menentu. Setelah didera teror penangkapan dengan tuduhan perusakan hutan lindung, kini mereka terancam tergusur akibat rencana tambang emas di kawasan hutan tempat mereka tinggal. Pemerintah mengusir masyarakat dari hutan karena alasan berada di hutan lindung sedang pengusaha malah diberi izin masuk. Pengusiran pertama pada 1994, ketika pemerintah menetapkan kawasan itu sebagai hutan lindung, dan tertutup akses masyarakat",Hutan Lindung,Hutan Lindung,https://tanahkita.id/data/data/konflik/detil/S0FCWGlibmcyUDA,2026-06-09T06:45:45.611020+07:00
260,2010,Sengketa Pelepasan Lahan ke PT. BTS,Tidak ada titik temu kesepakatan pembebasan lahan antara PT. Buana tunas Sejahtera dan Masyarakat adat Iban Bidau,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/Q282ZlBiSzE0R1k,2026-06-09T06:45:45.611020+07:00
261,1999,Hutan Dayak Kayaan Mendalam dirusak perusahaan HTI,"PT. LJM yang beroperasi sejak tahun 1994 telah menipu penduduk. Orang Kayaan tidak pernah merasa menyerahkan tanah pada PT. LJM untuk dijadikan HTI. PT. LJM Melakukan berbagai cara seperti penipuan terhadap masyarakat, pembakaran hutan, dan melanggar hukum adat Dayak Kayaan Mendalaam",hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/ODFLcU9VajdpRzA,2026-06-09T06:45:46.761457+07:00
262,2010,Hutan Adat Kapuas Terancam Hilang,Ribuan warga berunjuk rasa menuntut Bupati Kapuas Hulu untuk mencabut ijin HPH Perusahaan yang ada di wilayah adat mereka.,hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/WUNxS1VxM1dxVXc,2026-06-09T06:45:46.761457+07:00
263,2004,Inkuiri Nasional Kalbar: Konflik Berkepanjangan di Semunying Jaya,"Masyarakat Semunying Jaya, meminta agar PT. LL mengembalikan kawasan hutan adat mereka sekitar 1.420 hektar yang telah dirampas. â€œPerusahaan juga telah mengambil atau menggusur kuburan leluhur",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/Sk9abmJDRHlHZXc,2026-06-09T06:45:46.761457+07:00
264,2002,Ilegal logging di hutan Adat Dayak Iban Dusun Kumba Desa Kumba,PT. AMP tidak melakukan penanaman kelapa sawit sesuai perizinannya. Tetapi perizinan tersebut justru hanya dimanfaatkan untuk mengambil kayu yang tersisa termasuk merambah kayu diwilayah hutan adat milik masyarakat Dusun Kumba Desa Kumba,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/a2g0NDVTSUl4T1U,2026-06-09T06:45:46.761457+07:00
265,2000,PT. Lundu Sawmill mencuri kayu di Dusun Pareh Desa Kumba,"Tahun 2000, PT. Lundu Sawmill milik pengusaha Sarawak-Malaysia, mencuri kayu di wilayah Indonesia (Dusun Pareh Desa Kumba). Dengan ada pencurian kayu di wilayah Indonesia",Eks-Perkebunan,Perkebunan,https://tanahkita.id/data/data/konflik/detil/RW5LVGl6MTBPcTQ,2026-06-09T06:45:46.761457+07:00
266,1998,Perhutani Membalak Hutan Masyarakat Adat Iban,Perum Perhutani masuk Dusun Pareh dan Dusun Semunying Bungkang. Perum Perhutani ditunjuk oleh pemerintah untuk melakukan reboisasi bekas lahan HPH PT Yamaker Kalbar Jaya. Reboisasi yang direncanakan tidak pernah direalisasikan. Perum Perhutani justru sebaliknya melakukan pembalakan terhadap hutan alam yang tersisa. Kayu yang ditebang oleh Perum Perhutani dijual ke Malaysia Timur (Sarawak). Kawasan hutan yang ditebang oleh Perum Perhutani adalah wilayah hutan masyarakat adat,Perum Perhutani,Perkebunan,https://tanahkita.id/data/data/konflik/detil/OWQ1SjdKSDRsRnc,2026-06-09T06:45:46.761457+07:00
267,1987,Pembalakan Hutan Adat Dayak Iban oleh Perusahaan,"Tahun 1987, perusahaan HPH PT Yamaker Kalbar Jaya mendapatkan konsesi untuk pengusahaan hutan. PT Yamaker Kalbar Jaya dalam kegiatan pembalakan lapangan sempat menggusur wilayah hutan masyarakat adat Dusun Pareh Desa Kumba, Kecamatan Jagoi Babang, Kab. Sambas (belum pemekaran wilayah). Atas pelanggaran tersebut PT. Yamaker Kalbar Jaya dikenakan sanksi adat oleh masyarakat adat.",hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/R1pXeFUwQU9NM1E,2026-06-09T06:45:46.761457+07:00
268,2009,Sedulur Sikep Pati vs Semen BUMN dan swasta,"Rencana pendirian Pabrik Semen PT Sahabat Mulia Sakti (PT SMS merupakan anak perusahaan PT Indocement)  dibangun di 4 desa yaitu Desa Mojomulyo, Tambakromo, Larangan, Karangawen Kecamatan  Tambakromo dan Kecamatan Kayen kabupaten Pati Jawa Tengah dengan nilai investasi sebesar 7 triliun, berdasarkan atas Keputusan Bupati Pati Nomor: 660.1/4767 tentang Izin Lingkungan Pembangunan Pabrik Semen serta Penambangan Batu gamping dan Batu Lempung pada 8 Desember 2014. Pembangunan tersebut seluas 180 Ha, berada dalam kawasan hutan milik desa dan milik masyarakat dengan rincian sebagai berikut:
-Tapak Pabrik (+ 75 Ha)
a.Milik Masyarakat : + 40,80 Ha;
b.Perhutani   : + 34,20 Ha
-Buffer Zone (+ 68,22 Ha)
a.Milik Masyarakat : + 46,61 Ha
b.Perhutani   : + 21,61 Ha
-Jalan dan Dormitory (+ 36,78 Ha)
a.Milik Masyarakat : + 21,78 Ha
b.Milik Desa   : 15 Ha
Selain itu rencana penambangan akan dilakukan di 2 kecamatan yaitu kecamatan Kayen dan Kecamatan Tambakromo dengan luas wilayah penambangan sebagai berikut:
-Batu Gamping : 2000 Ha (Kec. Tambakromo dan Kec.Kayen)
-Batu Lempung : 663 Ha (Kec. Tambakromo)",Batu Gambing,Pertambangan,https://tanahkita.id/data/data/konflik/detil/Y3Zkc0x5VW1xb3M,2026-06-09T06:45:46.761457+07:00
269,2009,Sedulur sikep Blora tolak Pabrik Semen,"Kelanjutan Pembangunan Pabrik PT. Semen Gresik mengkhawatirkan akan terjadi perusakan lingkungan secara besar-besaran, tercerabutnya budaya dan adat istiadat masyarakat setempat, memicu pelanggaran Hak Asasi manusia, juga semakin menajamkan konflik horizontal dimasyarakat",Kesehatan,Pertambangan,https://tanahkita.id/data/data/konflik/detil/TGppcXZxSHN6bzQ,2026-06-09T06:45:46.761457+07:00
270,2008,Tumpang Tindih Izin Konsesi 23 Perusahaan Sawit di tanah adat Dayak Ngaju,"Bermula dari proyek Kalimantan Forest and Climate Partnership (KFCP), ada 7 desa yang masuk dalam wilayah kelola seluas 20.000 Ha. Proyek ini tidak berjalan baik dan mengabaikan hak-hak masyarakat, dalam wilayah ini juga tumpang tindih dengan perizinan untuk 23 perusahaan sawit yang sekarang mempunyai izin konsesi seluas 370.000 Ha.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/V0xpbnEwV0lBZTQ,2026-06-09T06:45:46.761457+07:00
271,1980,Eksploitasi Bertubi-tubi perusahaan di tanah adat Semunying Jaya,"Situasi yang dialami masyarakat adat Semunying Jaya, dianalogikan tak ada waktu untuk menghela nafas yaitubertubi-tubi konsesi perusahaan menggerogoti hutan adat Semunying. Pasalnya sejak tahun 1980-an hingga 1990-an sebagai awal dari eksploitasi hutan adat Semunying Jaya oleh perusahaan PT. Yayasan Maju Kerja (Yamaker).",hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/X2NDWWZmZmc0clk,2026-06-09T06:45:49.742862+07:00
272,1996,Klaim sepihak PT. MAS II & III atas tanah adat masyarakat Entapang dan Kerunang,"Sistem pinjam pakai yang diberikan masyarakat secara lisan yaitu menyewakan lahan seluas 1.462 Ha selama 25 tahun (hingga 2020), nyatanya telah diabaikan perusahaan yang mendapatkan izin HGU seluas 8.741 Ha dengan masa berlaku 2030. Sejak saat itulah, wilayah masyarakat adat Entapang dan Kerunang telah diklaim milik perusahaan.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/dmh6V1psX2pTOW8,2026-06-09T06:45:49.742862+07:00
273,2012,Konflik PT. Mitra Austral Sejahtera  II di atas tanah adat Masyrakat Kerunang dan Entapang,"Perusahaan PT. Mitra Austral Sejahtera  II menjanjikan kepada masyarakat adat Kerunang dan Entapang berupa pembangunan kebun plasma, sarana dan prasarana, dan memberikan lapangan pekerjaan sebagai kompensasi atas pinjam pakai yang diberikan oleh masyarakat adat Entapang. Nyatanya kesepakatan yang dibangun secara musyawarah antara perusahaan dengan masyarakat adat telah dilanggar dengan berubahnya status tanah tidak  lagi sistem pinjam-pakai tetapi menjadi tanah Hak Guna Usaha (milik perusahaan).",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/ZGhoa1p4ZVNzNTA,2026-06-09T06:45:49.742862+07:00
274,2011,Komunitas Adat Pekasa Menolak Keluar dari Kawasan Hutannya,"Konflik-konflik dalam pengelolaan kawasan hutan masih terus berlangsung. Di Pulau Sumbawa, tim gabungan polisi dinas kehutanan 2 kabupaten (Sumbawa dan Sumbawa Besar) melakukan penertiban di wilayah komunitas adat Pekasa. Sebanyak 20 personil polisi dishut 2 kabupaten tersebut mengatakan bahwa kawasan hutan yang berada di wilayah adat Pekasa itu adalah kawasan hutan lindung.",hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/ak9lMUZaTS1LT0E,2026-06-09T06:45:49.742862+07:00
275,1999,Masyarakat Adat Rendu Tolak Pembangunan Waduk,"masyarakat menolak rencana pembangunan waduk yang diusulkan pemerintah seluas 491 hektar. Masyarakat menganggap pembangunan merugikan, karena akan menenggelamkan pemukiman penduduk, sarana dan prasarana umum, kampung adat dan perkuburan leluhur. Pembangunan Waduk Lambo merupakan lanjutan dari rencana pembangunan Waduk Mbay yang pernah direncanakan oleh pemerintah melalui Pemerintah Daerah  Ngada sejak tahun  1999. Waduk ini berlokasi di 3 Desa dari  3 kecamatan : Desa Labolewa di Kecamatan Aesesa, Desa Rendubutowe di Kecamatan Aesesa Selatan dan Desa Ulupulu di Kecamatan Nangaroro, Kabupaten Nagekeo Propinsi Nusa Tenggara Timur. Berdasarkan pemetaan partisipatif yang dilakukan oleh masyarakat, luas waduk tersebut lebih kurang 1.048 ha. masyarakat sudah melapor ke KSP, dan beberapa kementerian lain. namun pemerintah tetap memaksakan pembangunan. masyarakat sudah melapor ke beberapa kementerian dan lembaga negara seperti KSP dan Kemen PUPR namun belum ada perkembangan, pemerintah masih memaksakan waduk tersebut dibangun.",PLTA,Bendungan,https://tanahkita.id/data/data/konflik/detil/MDZDRzVsczVMQjQ,2026-06-09T06:45:49.742862+07:00
276,2014,Masyarakat Adat Ai Melawan Ancaman Penggusuran,Konflik yang terjadi di kawasan itu bermula saat Pemerintah Daerah (Pemda) Kabupaten Sikka menyerahkan 500 hektar tanah adat (hutan) kepada sebuah Gereja Katolik melalui pemberian Hak Guna Usaha (HGU) kepada perusahaan yang bernama PT Diosis Agung (DIAG). Perusahaan itu dimiliki oleh Gereja Katolik (missi).,Eks-Perkebunan,Perkebunan,https://tanahkita.id/data/data/konflik/detil/VFREQnpwdnVJSGs,2026-06-09T06:45:49.742862+07:00
277,2010,PT. Nusa Ina Group  Serobot Lahan Adat Latea,PT. Nusa Ina Group melakukan penyerobotan lahan milik masyarakat adat Desa Latea di Seram Utara Barat Kecamatan Seram Utara Barat Maluku Tengah. awalnya petuanan lahan adat Desa Latea diserahkan untuk digunakan oleh PT. Sutra Sejati Indonesia dan bukan kepada PT. Nusa Ina Group.,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/QjR3Z1ZwSGhrbk0,2026-06-09T06:45:49.742862+07:00
278,2007,Aktivitas Tambang Merusak Sumber Penghidupan Masyarakat Adat Lipun,"Menurut Haspan Hamdan sebagai salah satu tokoh masyarakat adat Dayak, ""beberapa warga yang bermukim di Desa Gendang Timburu, Magalau Hulu, Magalau Hilir, dan Sampanahan kini terserang gatal-gatal dan batuk akibat mengonsumsi air sungai sebagai tempat pembuangan aktivitas tambang.""",Batu Bara,Pertambangan,https://tanahkita.id/data/data/konflik/detil/Zlgta19uN3VHNEk,2026-06-09T06:45:49.742862+07:00
279,2011,"Gunung Botak Memanas, Konflik Warga Kayeli dengan penambang Ilegal","Sejak ditemukannya tambang emas digunung botak pada pertengahan 2012, sejumlah penambang dari berbagai penjuru nusantara mendatangi desa Dafa. Selanjutnya timbul konflik horizontal antar para penambang. Masyarakat adat sebagai pemilik wilayah merasa sangat dirugikan",Emas,Pertambangan,https://tanahkita.id/data/data/konflik/detil/enFrci1rQ3BCYkU,2026-06-09T06:45:49.742862+07:00
280,2009,"Keresahan Masyarakat Kasepuhan Ciptamulya, Ciptarasa, dan Sinaresmi-Kesatuan Adat Banten Kidul Karena Perluasan TNGHS","Masyarakat di tiga kasepuhan dalam Kesatuan Adat Banten Kidul yang berada di wilayah Kabupaten Sukabumi resah. Pasalnya masyarakat adat tersebut dilarang melakukan pemanfaatan lahan karena kawasan yang telah ditinggali secara turun temurun itu kini masuk ke dalam kawasan konservasi Balai Taman Nasional Gunung Halimun Salak (TNGHS). Keresahan masyarakat adat menyusul terbitnya Surat Keputusan (SK) Menteri Kehutanan Nomor 175/Kpts-II/ 2003 tentang penunjukan kawasan TNGHS dan perubahan fungsi kawasan hutan lindung, hutan produksi tetap, hutan produksi terbatas pada kelompok hutan Gunung Halimun dan Salak seluas 113,357 Ha di Provinsi Jawa Barat (Jabar) dan Banten",Taman Nasional,Hutan Konservasi,https://tanahkita.id/data/data/konflik/detil/SXU2cFFEQXVFV2c,2026-06-09T06:45:49.742862+07:00
281,1998,Hak Ulayat Masyarakat Adat Kampung Dukuh yang 'Terampas',Perlakuan Perhutani kepada masyarakat pada masa lalu yang telah menjadikan lahan garapan masyarakat menjadi perkebunan jati yang pada prinsipnya merugikan masyarakat setempat,Perum Perhutani,Perkebunan,https://tanahkita.id/data/data/konflik/detil/X1dYTDVTMThrdlU,2026-06-09T06:45:50.863895+07:00
282,2009,PT. Karya Jaya Berdikari  Mengancam Masyarakat,"Di wilayah ini terdapat HPH PT. Karya Jaya Berdikari sejak awal para kepala desa yang melakukan penandatanganan bersama tanpa melakukan sosialisasi kepada masyarakat adat dan perusahaan melakukan aktivitas secara diam-diam, padahal jangkauan dari satu desa ke desa yang lain sangat menguras energi dan menggambarkan bahwa hal ini sangat tidak rasional.",hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/TGVEeUFQN0oxdkE,2026-06-09T06:45:50.863895+07:00
283,2010,PTPN VII vs Masyarakat Adat Serawai Semidang Sakti,Warga mempertahankan tanahnya yang telah digusur oleh perusahaan. Terjadi pelecehan (HAM) terhadap 5 perempuan adat. (catatan tanggal dan bulan waktu kejadian hanya perkiraan),Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/aTQtTHNMSU04OEk,2026-06-09T06:45:50.863895+07:00
284,2007,Konflik PT. Karya Jaya Berdikari,"Pengolahan Hutan di Pulau Yamdena di tandai keluarnya Surat Keputusan Menteri Kehutanan Republik Indonesia Nomor 117/MENHUT-II/2009 tertanggal 19 Maret 2009 tentang pemberian izin usaha pemanfaatan hasil hutan kayu di hutan alam kepada PT. Karya Jaya Berdikari atas areal hutan produksi seluas Â± 93.980 hektar yang didasarkan pada Rekomendasi Bupati Maluku Tenggara Barat, Nomor 522/093/Rek/2007, tgl 28 Agustus 2007.",hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/TTlINGVDXzZ6Skk,2026-06-09T06:45:50.863895+07:00
285,1999,Wilayah Adat Selupu Lebong dijadikan kawasan hutan tanpa FPIC,Konflik yang terjadi adalah konflik tanah dan hutan dimana terjadi koptasi wilayah adat oleh Negara yang menjadikan kawasan adat Selupu Lebong sebagai kawasan Negara,Hutan Lindung,Hutan Lindung,https://tanahkita.id/data/data/konflik/detil/c1JWNks5N0ptUkk,2026-06-09T06:45:50.863895+07:00
286,2011,Kriminalisasi Masyarakat Adat Punan Setarap dalam Memperjuangkan Haknya,"Pada tahun 1970-an, masyarakat adat Punan Setarap memilih berdiam diri karena pemahaman bahwa hutan negara dan masyarakat adat tak berhak apapun atas hutan dan kayu yang dikeluarkan dari kawasan hutan. Pada tahun 2000-an, masyarakat adat Punan Setarap mengambil sikap atas penebangan hutan adat oleh CV Luhur Perkasa yang tanpa persetujuan mereka.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/aTdpVXM5cjdQNjg,2026-06-09T06:45:50.863895+07:00
287,2010,Ingkar Janji Pinjam Pakai Lahan oleh PTPN VII terhadap Masyarakat Adat Pering,"Lahan masyarakat di pinjam oleh PTPN VII selama 25 tahun dan seharusnya berakhir pada Februaril 2010.  Namun PTPN VII tidak segera mengembalikan tanah tersebut, tetapi menjanjikan akan mengembalikan kpd masyarakat pemilik lahan.",PTPN,Perkebunan,https://tanahkita.id/data/data/konflik/detil/V2IwREpldDZtc3c,2026-06-09T06:45:50.863895+07:00
288,2017,Rencana Peternakan di Aru,"Kasus ini bermula saat masyarakat memperoleh informasi tentang peternakan sapi yang dicanangkan oleh Kementerian Pertanian. Masyarakat Kepulauan Aru dijanjikan akan mendapatkan inti plasma, peternakan ini nantinya akan mengambil tanah adat masyarakat Aru.",Peternakan,Pangan dan Energi,https://tanahkita.id/data/data/konflik/detil/azJSRWFENFZIYkE,2026-06-09T06:45:50.863895+07:00
289,2015,PT Bintang Lima Makmur Ancaman Bagi Suku Nuaulu,"November 2015, masyarakat adat suku Nuaulu dikagetkan dengan kehadirkan PT. Bintang Lima Makmur yang masuk melalui Pemerintah Negeri Sepa. Dengan masuknya PT. Bintang Lima Makmur pada bulan Nopember 2015 telah menimbulkan keresahan bagi masyarakat adat suku Nuaulu.  Keresahan ini muncul karena aktivitas perusahaan berada di dalam wilayah petuanan yang mereka miliki. Di dalam wilayah petuanan yang mereka miliki terdapat negeri â€“ negeri lama dari marga â€“ marga yang ada di Suku Nuaulu, karena pada zaman dulu, sebelum orang â€“ orang suku Nuaulu turun ke pantai mereka tinggal dalam kelompok â€“ kelomok marga di wilayah yang akan di tebang oleh PT. Bintang Lima Makmur.",hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/TG1iMmlHa29ZS1E,2026-06-09T06:45:50.863895+07:00
290,2010,Sabotase Lahan Milik Masyarakat Adat Pekal oleh PT Grand Jaya Niaga,"Lahan perkebunan milik warga Desa Air Jabi dijual oleh beberapa oknum mantan perangkat desa itu sendiri kepada PT Grand tanpa sepengetahuan oleh warga pemilik, sedangkan sebelumnya warga desa sudah memperingatkan pada pihak perusahaan bahwa lahan mereka tidak dijual karena lahan tersebut merupakan sumber penghidupan warga yang mereka peroleh dari nenek moyang mereka dan diwariskan secara turun temurun ke anak cucunya",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/cXZWa09peFFmZG8,2026-06-09T06:45:50.863895+07:00
291,1980,Hutan Marga Suku IX yang digerus izin HPT,"Tahun 1980-1985, PT Yamaja dan PT Raja Rimba diberi izin pengelolaan Hutan Produksi Terbatas (HPT) di lokasi hutan Marga Suku IX",hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/Y0FwUnBIeUd1c00,2026-06-09T06:45:51.998332+07:00
292,1999,Wilayah Adat dan Identitas Marga Suku IX yang dihilangkan oleh Pemerintah,"Padan tahun 1979 kelembagaan adat dihapuskan, kemudian pada tahun 1980 Pemerintahan Propinsi membuat Perda tentang Penghapusan Marga di Propinsi Bengkulu. Tahun 1999 Dikeluarkannya KEPMEN Kehutanan RI No 420/Kpts-II/1999 tanggal 15 Juli 1999 tentang Penunjukan Kawasan Hutan di Lingkup Propinsi Bengkulu; dan Pada Acuan Tata Ruang Wilayah Propinsi yang dikukuhkan melalui TGHK dan Paduserasi kawasan tanpa melibatkan Masyarakat Hukum Adat",Taman Nasional,Hutan Konservasi,https://tanahkita.id/data/data/konflik/detil/cWdjekdFSkFNa0E,2026-06-09T06:45:51.998332+07:00
293,1999,Hutan Batas Bozzen Jurukalang tidak diakui Taman Nasional Kerinci Seblat,"konflik klaim kepemilikan lahan antara masyarakat Jurukalang dengan Kawasan Konservasi (Hutan Lindung, TNKS, dan Cagar Alam). Pada tahun 1827 Pemerintahan Belanda menetapkan Sebagian Wilayah Hutan di Jurkalang sebagai Kawasan yang di Lindungi oleh masyarakat Jurukalang di Kenal dengan Hutan Batas Bosszen atau BW, kawasan Hutan Patok BW berada di luar Lahan",Taman Nasional,Hutan Konservasi,https://tanahkita.id/data/data/konflik/detil/cEZFb3I5NVdIdVE,2026-06-09T06:45:51.998332+07:00
294,2017,"Penebangan Liar di hutan adat Djamona Raa, Rebi oleh CV Cendrawasih",Kasus ini bermula dari penebangan liar atau illegal logging di dalam hutan adat Djamona Raa. masyarakat Rebi marah dan menahan alat berat serta hasil kayu curian tersebut. penebang liar ini kemudian melaporkan balik masyarakat Rebi ke Polres Kepulauan Aru dengan tuduhan pencurian.,hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/VGVmYm41Ny1rNzg,2026-06-09T06:45:51.998332+07:00
295,2015,"Kriminalisasi Bokum dan Nuhu, Masyarakat Togutil","Kasus ini bermula saat 22 perusahaan tambang dan 2 perusahaan sawit masuk ke wilayah adat. pada tahun 2013 dan 2014, 4 orang warga Waci ditemukan tewas, 2 orang dari suku Togutil kemudian dituduh sebagai pelaku yaitu Bokum dan Nuhu.",Nikel,Pertambangan,https://tanahkita.id/data/data/konflik/detil/dUtTNnFIbS1vV00,2026-06-09T06:45:51.998332+07:00
296,1998,Perambahan Hutan di Pulau Enggano oleh PT. Enggano  Dwipa  Persada,"Persoalan bermula dari Masuknya perusahaan besar PT. Enggano  Dwipa  Persada  (EDP)  pada tahun 1998 yang mendapat ploting area seluas 10.000 hektar di pulau Enggano. Perusahaan ini berencana melakukan pembukaan lahan oleh di  pulau  Enggano  untuk  usaha  pakan  ternak, namun  kemudian  berubah  menjadi  perkebunan melinjo dengan melakukan penebangan hutan seluas 2400 hektar.",hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/ZTZoeWE1U0hiemc,2026-06-09T06:45:51.998332+07:00
297,1927,Konflik klaim kepemilikan lahan antara masyarakat Bermani dengan Kawasan Konservasi,"Konflik yang terjadi saat ini adalah konflik klaim kepemilikan lahan antara masyarakat Bermani dengan Kawasan Konservasi (Hutan Lindung Rimbo Pengadang, Cagar Alam dan TNKS)",Taman NasionalCagar Alam,Hutan Konservasi,https://tanahkita.id/data/data/konflik/detil/UFhlYkh5SVd5dGc,2026-06-09T06:45:51.998332+07:00
