nama_perusahaan,jenis_badan_usaha,provinsi,nib,npwp,telepon,email,alamat,jumlah_izin,jumlah_izin_nikel,jumlah_izin_lainnya,status_iup,komoditas,golongan,lokasi_izin,total_luas_ha,nilai_investasi_usd_juta,nilai_investasi_idr_miliar,tahun_investasi,kapasitas_produksi_ton_tahun,jenis_kapasitas,status_operasional,sumber_data_investasi,sumber_data_kapasitas,catatan
BATU SIKUKU,Perusahaan Komanditer (CV),Sulawesi Selatan,1712210027257,53605938*******,081245723835___,,Kelurahan Batusitanduk Kec. Walenrang Kab. Luwu,1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),Batuan,KAB. LUWU,8.16,,,,,,,,,
BEDDU COTTANG BACO,Perusahaan Komanditer (CV),Sulawesi Selatan,0104230022209,40100546*******,082337104972___,,Desa Nagauleng Kec. Cenrana  Kab. Bone Sulawesi Selatan,1,0,1,LEGAL,Pasir,Batuan,KAB. BONE,80.40,,,,,,,,,
BENJALA BUMI BERKAH,Perusahaan Komanditer (CV),Sulawesi Selatan,1406230105054,40929907*******,085342212777___,,"Kelurahan Benjala, Kecamatan Bonto Bahari, Kabupaten Bulukumba",1,0,1,LEGAL,Tanah Urug,Batuan,KAB. BULUKUMBA,12.42,,,,,,,,,
BENTENG UTAMA GROUP,Perusahaan Komanditer (CV),Sulawesi Selatan,0802230106129,62731848*******,,,-,1,0,1,LEGAL,Pasir,Batuan,KAB. BONE,60.72,,,,,,,,,
BENUA BORNOE KENCANA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,2104250053357,100000000*******,085397565902,Benuaborneokencana@gmail.com,"Desa Awo, Kecamatan Keera, Kabupaten Wajo, Provinsi Sulawesi Selatan",1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),Batuan,KAB. WAJO,11.12,,,,,,,,,
BINTANG UTAMA ABADI,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,8120112250559,002492140*******,,,"DESA HARAPAN, KEC. WALENRANG",1,0,1,LEGAL,Galena,Mineral Logam,KAB. LUWU,377.00,,,,,,,,,
BINTANG UTAMA MANYAMPA,Perusahaan Komanditer (CV),Sulawesi Selatan,1202220018915,063338082*******,081361200848___,,"Dusun Timbula, Desa/Kelurahan Bontotangnga, Kec. Bonto Tiro, Kab.
Bulukumba, Provinsi Sulawesi Selatan",1,0,1,LEGAL,Tanah Urug,Batuan,KAB. BULUKUMBA,38.12,,,,,,,,,
BUKIT EMAS SINJAI,Perusahaan Komanditer (CV),Sulawesi Selatan,3009240015901,27023505*******,081342467720___,,Dusun Maccini RT.003 RW.002 Desa Panaikang Kec. Sinjai Timur Provinsi Sulawesi Selatan,1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. SINJAI,11.00,,,,,,,,,
BULU TAMMANGURA,Perusahaan Komanditer (CV),Sulawesi Selatan,0912220038331,03180593*******,08114554445,bulutammangura@gmail.com,Jl.Poros semen Bosowa Maros Baruga Kec.Bantimurung,2,0,2,LEGAL,Andesit; Tanah Urug,Batuan,KAB. MAROS,28.99,,,,,,,,,
BUMI BARRU SEJAHTERA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,0803240185473,012932424*******,082188088055___,,Kompleks Skarda N Nomor 26 Kelurahan Gunung Sari Kecamatan Rappocini Kota Makassar Provinsi Sulawesi Selatan,1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),,KAB. BARRU,6.00,,,,,,,,,
BUMI TIRE PERSADA,Perusahaan Komanditer (CV),Sulawesi Selatan,1002230067942,62735872*******,082153262933___,,Jalan Nipa Nipa Lama Bukit Teknologi A1 Kelurahan Antang Kecamatan Manggala Kota Makassar Provinsi Sulawesi Selatan,1,0,1,LEGAL,Batu Gamping,,KAB. BULUKUMBA,40.91,,,,,,,,,
CAHAYA MAULANA,Perusahaan Komanditer (CV),Sulawesi Selatan,0710210005448,43720782*******,081240000021___,,Jalan Seroja No.107 Kelurahan Pacongang Kec. Paleteang Kab. Pinrang,1,0,1,LEGAL,Pasir,Batuan,KAB. PINRANG,7.29,,,,,,,,,
CAHAYA SAGA UTAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,0220007202109,002821091*******,081219933826___,,JL. BALANG BARU NO.8 RT.003 RW.002 KEL. BALANG BARU KEC. TAMALATE KOMPLEKS KEHUTANAN MAKASSAR,1,0,1,LEGAL,Tras,Batuan,KAB. BARRU,9.50,,,,,,,,,
CELEBES BONE MINERAL,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,9120206492567,003091633*******,,info@celebesbonemineral.co.id,"GRAHA IRAMA LT. 14, Jl. H.R. RASUNA SAID BLOK X-1 KAV. 1 & 2",1,0,1,LEGAL,Tembaga,,KAB. BONE BOLANGO,13195.00,,,,,,,,,
CHRISTINA EXPLO MINING,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,9120301911489,002930072*******,081315215229,christinaexplomining@gmail.com,Jl. Tanah Abang 1 No. 11F,1,0,1,LEGAL,Galena,Mineral Logam,KAB. TANA TORAJA,3200.00,,,,,,,,,
CIKAL MAS SEMESTA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,9120406450798,002642977*******,,,"DESA ROMANGLOE, KEC. BONTOMARANNU",1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),Batuan,KAB. GOWA,20.75,,,,,,,,,
CIPTA BETON SINAR PERKASA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,0220102730936,01715075*******,,,"JL. ONTA BARU NO. 38 MAKASSAR & JL. DEWI SARTIKA V NO. 14 A, PALU  & JL. SAMIUN NO. 04 MAKASAR",1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),Batuan,KAB. GOWA,6.47,,,,,,,,,
DIEGO PUTRA KONSTRUKSI,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,9120000490463,72640661*******,081953992938___,,"Jl. Komp Ruko Cempaka II, Masale, Kec.Panakkukang, Kota Makassar",1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. TAKALAR,30.64,,,,,,,,,
FADILAH UTAMA SEJAHTERA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,2202230001815,81823545*******,08124169434,fadilahutamasejahtera@gmail.com,jalan sutomo,1,0,1,LEGAL,Pasir Kuarsa,Mineral Bukan Logam Jenis Tertentu,KAB. BARRU,13.30,,,,,,,,,
GARASI SEMBILAN TUJUH,Perusahaan Komanditer (CV),Sulawesi Selatan,1105230022979,91918906*******,,,-,1,0,1,LEGAL,Tanah Urug,Batuan,KAB. SINJAI,5.82,,,,,,,,,
GORONTALO MINERALS,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,1265000733601,001824616*******,,,"BAKRIE TOWER LT.10 KOMPLEK RASUNA EPICENTRUM. JL HR RASUNA SAID KARET, KUNINGAN",1,0,1,LEGAL,Emas,Mineral Logam,KAB. BONE BOLANGO,24995.00,,,,,,,,,
GRAND MARMER ALAM SERASI,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,8120210180979,002557025*******,,,JL. BETE-BETE NO. 18 PANGKAJENE KABUPATEN PANGKEP,1,0,1,LEGAL,Marmer,Batuan,KAB. MAROS,35.00,,,,,,,,,
HADAF KARYA MANDIRI,Perusahaan Komanditer (CV),Sulawesi Selatan,2801220023816,074883948*******,085241619232,HADAFKARYAMANDIRI01@GMAIL.COM,JL. ARIF RAHMAN HAKIM,1,0,1,LEGAL,Emas,Mineral Logam,KAB. ENREKANG,1000.00,,,,,,,,,
HASNI GORONTALO SEJAHTERA,Perusahaan Komanditer (CV),Sulawesi Selatan,2312220021212,62174476*******,081354910626___,,"Jl. Pemerataan Puri Melati Nomor 9, Kelurahan Ipilo, Kecamatan Kota Timur, Kota Gorontalo, Provinsi Gorontalo",1,0,1,LEGAL,Andesit,Batuan,KAB. BONE BOLANGO,3.00,,,,,,,,,
ILHAM AFIQ MANDIRI,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,3010230115856,61486456*******,082357407212___,,"Desa/Kelurahan Data, Kecamatan Duampanua Kabupaten Pinrang",1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. PINRANG,13.15,,,,,,,,,
ILHAM JAYA PUTRA,Perusahaan Komanditer (CV),Sulawesi Selatan,0812220002903,61087951*******,082246279737___,,"JALAN BAMBU RUNCING, Desa/Kelurahan Pettuadae, Kec. Turikale,
Kab. Maros, Provinsi Sulawesi Selatan",1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),Batuan,KAB. MAROS,6.69,,,,,,,,,
JASA SUMBER GALIAN,Perusahaan Komanditer (CV),Sulawesi Selatan,2101250053174,109103121*******,,,-,1,0,1,LEGAL,Tanah Urug,Batuan,KOTA PALOPO,9.70,,,,,,,,,
JUNIOR MANDIRI,Perusahaan Komanditer (CV),Sulawesi Selatan,2201250031283,109103121*******,082232071016___,,"Dusun Munte-munte, Desa Watangpanua",1,0,1,LEGAL,Tanah Urug,Batuan,KAB. LUWU TIMUR,3.91,,,,,,,,,
KALLA AREBAMMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,0220102380125,002433217*******,0213800888_____,,"Komplek Ruko Atap Merah Blok B1, Jl. Pecenongan No. 72 , Kel. Kebon Kelapa, Kec. Gambir",3,0,3,LEGAL,Besi; Emas; Tembaga,Mineral Logam,KAB. LUWU UTARA; KAB. MAMUJU,20173.00,,,,,,,,,
KALOMANG BIRU PERSADA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,1259000632582,071987761*******,,,JL. BAU MASSEPE  BARRU,2,0,2,LEGAL,Batu Gamping untuk Industri; Pasir Kuarsa,Mineral Bukan Logam Jenis Tertentu,KAB. BARRU,1109.08,,,,,,,,,
LAKERA BUM BERKARYA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,1401250088379,063711731*******,,,-,1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. PINRANG,30.50,,,,,,,,,
LIMA TUJU TUJU,Perusahaan Komanditer (CV),Sulawesi Selatan,1008230125853,039882245*******,081241765700___,,"Dusun Tanadidi, Desa Allaere, Kecamatan Tanralili",1,0,1,LEGAL,Tanah Urug,,KAB. MAROS,36.17,,,,,,,,,
MANREPO TAMBANG REMPOA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,0607230320674,085115479*******,082298898827,info.manrepotambangrempoa@gmail.com,JL. Singa. No. 47,2,0,2,LEGAL,Batu Gunung Quarry Besar; Tanah Urug,Batuan,KAB. MAROS,55.14,,,,,,,,,
MASMINDO DWI AREA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,8120411121942,001824631*******,0212525255_____,info@menaraciptamulia.co.id,"GEDUNG GRAHA MITRA,LT.10, UNIT 1002 JL.JEND GATOT SUBROTO KAV 21, KARET SEMANGGI",1,0,1,LEGAL,Emas,Mineral Logam,KAB. LUWU,14390.00,,,,,,,,,
MATTAPPA,Perusahaan Komanditer (CV),Sulawesi Selatan,1905220049362,65366089*******,081326886898___,,"Jln. Gabus No. 03 RT. 005 RW. 001, Mattiro Tappareng Kecamatan Tempe Kabupaten Wajo Sulawesi Selatan",1,0,1,LEGAL,Pasir,Batuan,KAB. WAJO,6.55,,,,,,,,,
MATTIRO DECENG LUTIM,Perusahaan Komanditer (CV),Sulawesi Selatan,1267000720564,42954066*******,082339902566___,,Jalan Gunung Verbeck No. 13 Desa Laskap Kecamatan Malili Kabupaten Luwu Timur Provinsi Sulawesi Selatan,1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. LUWU TIMUR,17.03,,,,,,,,,
MEGA BATU MATTIROWALIE,Perusahaan Komanditer (CV),Sulawesi Selatan,0202230025586,64483013*******,085256409248___,,"Makkuntu, Desa Maccile, Kec. Lalabata",1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. SOPPENG,13.71,,,,,,,,,
MERDEKA MINERAL INDONESIA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,2707220071929,002433079*******,,,"GD Revenue Tower LT.12.  Kawasan Distric 8 , SCBD Lot 13 JL JEND SUDIRMAN Kav 52-53 JAKARTA",1,0,1,LEGAL,Besi,Mineral Logam,KAB. BONE,6067.00,,,,,,,,,
MINERAL BUKIT HARAPAN,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,0504230023736,040424728*******,08114442951,mineralharapan@gmail.com,KOMP. DOSEN UNHAS TAMALANREA EB NO. 1,1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. MAROS,22.47,,,,,,,,,
MITRA ANUGRAH,Perusahaan Komanditer (CV),Sulawesi Selatan,8120012172089,86662508*******,085256772282___,,Desa Oluhata Kecamatan Kabila Bone Kabupaten Bone Bolango Provinsi Gorontalo,1,0,1,LEGAL,Batuan,,KAB. BONE BOLANGO,43.75,,,,,,,,,
MUDA BERSATU DJAYA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,1707240101292,013986157*******,081341618961___,,jalan Jend. Sudirman No. 24 Kota Makassar,1,0,1,LEGAL,Kuarsit,Mineral Bukan Logam Jenis Tertentu,KAB. LUWU,196.00,,,,,,,,,
NETRAL PINRANG,Perusahaan Komanditer (CV),Sulawesi Selatan,0706220024134,65580407*******,082196587409___,,"Jl. Ambo Daming, Pacongang, Paleteang",1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. PINRANG,16.60,,,,,,,,,
NUSANTARA RESOURCES JAYAUTAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,2503250057291,100000000*******,085215987524,nusarejaya@gmail.com,"One Belpark Office Tower Lantai 9, Unit L9-02, Jalan RS. Fatmawati Nomor 1",1,0,1,LEGAL,Marmer,Batuan,KAB. MAROS,19.58,,,,,,,,,
OPTIMA JAYA SAKTI,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,1235000502803,074797215*******,0______________,,"Dusun Tala-tala, Kel. Bontomanai, Kec. Tompobolu",1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),Batuan,KAB. GOWA,8.95,,,,,,,,,
ORION MEA LUTIM,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,1110240089069,27936784*******,081241131147___,,"Dusun Sidoarjo Desa Beringin jaya Kecamatan Tomoni
Kabupaten Luwu Timur Provinsi Sulawesi Selatan",1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),Batuan,KAB. LUWU TIMUR,32.41,,,,,,,,,
PANCA DIGITAL SOLUTION,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,9120301500885,002540920*******,0411 402966,,"Jl. Trans Sulawesi Tenggara Kav. 668, Desa Harapan, Kec. Malili, Kab. Luwu Timur, Sulawesi Selatan 92981",2,0,2,LEGAL,Besi,,KAB. LUWU TIMUR,1497.08,,,,,,,,,
PASIR PUTIH RADDA,Perusahaan Komanditer (CV),Sulawesi Selatan,2906220023591,60301545*******,082192389337___,,Jalan Soekarno No 57 Desa Kappuna Kecamatan Masamba,1,0,1,LEGAL,Pasir,Batuan,KAB. LUWU UTARA,6.40,,,,,,,,,
PATRI,Perusahaan Komanditer (CV),Sulawesi Selatan,1212240101233,27870571*******,,,"DESA SUBUR, KEC. SUKAMAJU",1,0,1,LEGAL,Pasir,Batuan,KAB. LUWU UTARA,3.53,,,,,,,,,
PIRANTI JAGADRAYA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,9120405890596,001685288*******,0811429558,,"JL ISLAMI CENTER NO 4, TAKKALALA,  WARA SELATAN, PALOPO",1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),,KAB. LUWU,11.76,,,,,,,,,
PONRO KANNI,Perusahaan Komanditer (CV),Sulawesi Selatan,2510220135299,61324404*******,085398367000___,,Jl. Gunung Lompo Battang Kec. Paleteang Kab. Paleteang Prov. Sulsel,1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. PINRANG,16.66,,,,,,,,,
PUTRA TUNGGAL CEMERLANG,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,9120300733815,03079899*******,04113651004____,,"Jl. S. Limboto No. 68 Makassar, Sulawesi selatan",1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),Batuan,KAB. GOWA,6.14,,,,,,,,,
RAGA UTAMA,Perusahaan Komanditer (CV),Sulawesi Selatan,9120105672947,02855390*******,08114103312____,,Dusun Carangki Selatan Desa Lekopancing Kecamatan Tanralili Kabupaten Maros Prov. Sulawesi Selatan,1,0,1,LEGAL,Tanah Urug,Batuan,KAB. MAROS,9.80,,,,,,,,,
REKHABILA UTAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,0220000200469,003315962*******,08114149777____,,"Jl. Bromo Bukit Baruga No. 16, Antang Manggala",2,0,2,LEGAL,Tras,Batuan,KAB. BARRU,20.73,,,,,,,,,
REZKY BATU KAPUR,Perusahaan Komanditer (CV),Sulawesi Selatan,9120416071901,83166085*******,085242201145___,,Jl Welalange Kelurahan Macannang Kec. Tanete Riattang Barat Kabupaten Bone,1,0,1,LEGAL,Batu Gamping,Batuan,KAB. BONE,199.31,,,,,,,,,
SANUSI KARSA TAMA BANGUNAN,Perusahaan Komanditer (CV),Sulawesi Selatan,1706220058302,65873232*******,085254055261___,,Jl. Poros BTP Ruko Boulevard Blok AE No.882 Kel.Katimbang Kec.Biringkanaya Kota Makassar Sulawesi Selatan,1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. MAROS,42.97,,,,,,,,,
SARANG TENGNGE' TANDEALLOANAN,Perusahaan Komanditer (CV),Sulawesi Selatan,2911210036068,03266267*******,082213212112___,sarangtengngetandealloanan@gmail.com,"JL. FRANS PASANDE, Kel. Lapandan, Kec. Makale, Kab. Tana Toraja,
Provinsi Sulawesi Selatan",1,0,1,LEGAL,Batu Gamping,,KAB. TANA TORAJA,5.00,,,,,,,,,
SEMEN BOSOWA MAROS,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,8120004782878,001502884*******,0411372372_____,,"Menara Bosowa Lt 19 Jalan Jendral Sudirman No.5, Kel. Pisang Utara,
Kec. Ujung Pandang, Kota Makassar, Provinsi Sulawesi Selatan,
Kode Pos: 90115",2,0,2,LEGAL,Batu Gamping untuk Industri; Clay,Mineral Bukan Logam Jenis Tertentu,KAB. MAROS,826.86,,,,,,,,,
SINAR FADLI,Perusahaan Komanditer (CV),Sulawesi Selatan,0311210032816,02722484*******,085299857163___,,JL. PASAR SENTRAL NO 18 KEL. S. BINANGAE KEC. BARRU KAB. BARRU,1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),Batuan,KAB. BARRU,5.09,,,,,,,,,
SINAR MALIBA MANDIRI,Perusahaan Komanditer (CV),Sulawesi Selatan,1608230013473,40810715*******,,,-,1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. ENREKANG,6.79,,,,,,,,,
SINAR MARS,Perusahaan Komanditer (CV),Sulawesi Selatan,0708230078185,39845862*******,082396698889,cvmarsjumarang@gmail.com,PUDUKKU DARRAH,1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),Batuan,KAB. ENREKANG,5.05,,,,,,,,,
STAR MITRA SULAWESI,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,9120101960344,002702156*******,085227641192___,,"JL. Pelita Raya 6 no. 8, Desa/Kelurahan Buakana, Kec. Rappocini, Kota Makassar, Provinsi Sulawesi Selatan,",1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),Batuan,KAB. LUWU TIMUR,9.33,,,,,,,,,
SURYA PERKASA GLOBAL,Perusahaan Komanditer (CV),Sulawesi Selatan,1804230013309,40677543*******,0411490555_____,,Jl. Muria Blok E No.15 Kel.Antang Kec. Manggala-Makassar,1,0,1,LEGAL,Tanah Urug,,KAB. MAROS,33.29,,,,,,,,,
SURYA PERKASA MINERAL,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,1298000700974,042905229*******,08114446336____,,"Jln. Muria Blok E no. 15 , Kel. Antang, Kec. Manggala, Kota
Makassar, Prov. Sulawesi Selatan",2,0,2,LEGAL,Batu Gunung Quarry Besar; Clay,Batuan; Mineral Bukan Logam Jenis Tertentu,KAB. MAROS; KAB. PINRANG,30.10,,,,,,,,,
SYARIF HIDAYATULLAH,Perusahaan Komanditer (CV),Sulawesi Selatan,1905220058867,41819086*******,081326886898___,,Jl. Bau Baharuddin 11 A Sengkang Kel. Tempe Kec. Tempe Kab. Wajo Sulawesi Selatan,1,0,1,LEGAL,Pasir,Batuan,KAB. WAJO,6.09,,,,,,,,,
Sumber Karunia Perkasa,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,0291010162065,93841182*******,04114674172____,,"Jl. Pelita Raya Blok A5 No. 8  Makassar, Sulawesi selatan",1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),Batuan,KAB. GOWA,13.98,,,,,,,,,
TANETE MULIA PAKORO,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,0401240056313,050787693*******,085397090699,pttanetemuliapakoro@gmail.com,JALAN YOS SUDARSO NOMOR 17 PINRANG,2,0,2,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. PINRANG,60.50,,,,,,,,,
TEPPO TAMBANG PACIFIC,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,1702220003767,063022695*******,081354338781___,,"Jl. Manggala Dalam 1 No. 2, Kelurahan Manggala, Kec. Manggala, Kota Makassar, Provinsi Sulawesi Selatan,",1,0,1,LEGAL,Pasir,Batuan,KAB. LUWU UTARA,8.00,,,,,,,,,
TRI PUTRA COPPO,Perusahaan Komanditer (CV),Sulawesi Selatan,2104220040807,01791286*******,,,-,1,0,1,LEGAL,Peridotit,Batuan,KAB. BARRU,11.09,,,,,,,,,
TRINUSA RESOURCES,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,0220102421053,002795913*******,,,"Wisma Argo Manunggal Lt. 12 Jl. Jend. Gatot Subroto Kav. 22,
Desa/Kelurahan Karet Semanggi, Kec. Setiabudi, Kota Adm. Jakarta
Selatan, Provinsi DKI Jakarta,
Kode Pos: 12930",1,0,1,LEGAL,Emas,Mineral Logam,KAB. SINJAI,11326.00,,,,,,,,,
TUNGGAL PUTRA BONE PUTE,Perusahaan Komanditer (CV),Sulawesi Selatan,1002230064972,62729627*******,,,-,1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. BONE,13.56,,,,,,,,,
USFATINDO,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,0220202271285,02469572*******,081343976578___,,Jl. poros Allita Km.05 Kelurahan Allita Kecamatan Mattiro Bulu Kab. Pinrang propinsi Suawesi Selatan,1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. PINRANG,77.79,,,,,,,,,
WIJAYA EKA SAKTI,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,9120205341059,002604277*******,,,"GEDUNG SUDIRMAN PLAZA, INDOFOOD TOWER LANTAI 12 JALAN JEND. SUDIRMAN KAV 76-78 SETIABUDI, JAKARTA SELATAN 12910",1,0,1,LEGAL,Tembaga,Mineral Logam,KAB. BONE,10000.00,,,,,,,,,
ZAYN AL RAJHI,Perusahaan Komanditer (CV),Sulawesi Selatan,2201240018636,001942753*******,,,-,1,0,1,LEGAL,Tanah Urug,Batuan,KAB. LUWU TIMUR,15.80,,,,,,,,,
A RASMAMULIA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120316181632,001734699*******,,,-,1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),Batuan,KAB. DONGGALA,33.35,,,,,,,,,
AAL RIZKI TAMBANG PALU,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0220301221897,072895846*******,0811985400,artp.palu@gmail.com,JL. PEMUDA NO.01,1,0,1,LEGAL,Batu Gunung Quarry Besar,,KAB. DONGGALA,95.70,,,,,,,,,
ABDARA BRM TAMBANG,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,1004230048875,40451135*******,6285396815159__,,"Jl. Poros Palu-Donggala Kilometer 17 RT Loli Saluran, Banawa Kab. Donggala Sulawesi Tengah",1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. DONGGALA,39.63,,,,,,,,,
ACES SELARAS,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0220007231113,003198175*******,081298888861,aces.selaras@yahoo.com,"Jl. Trans Palu - Donggala Km. 10
",1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KOTA PALU,19.79,,,,,,,,,
ADI RACHMAT MANDIRI,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120402872095,080499768*******,0542424979,armossbpp@gmail.com,Jalan Letjen Suprapto Nomor 76 ,1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),Batuan,KAB. DONGGALA,6.35,,,,,,,,,
AFIT LINTAS JAYA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120204810669,80943598*******,,,jl. toddopuli VII no34,1,0,1,LEGAL,Batu Gamping,Batuan,KAB. MOROWALI UTARA,67.99,,,,,,,,,
ALAM QUARRY PRATAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,1810230114615,50015538*******,082291518340___,,"Jalan Palu Donggala No 20, Desa Kabonga Besar, Kec. Banawa, Kab DOnggala, Prov Sulawesi Tengah",1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. DONGGALA,17.00,,,,,,,,,
ALPHA OMEGA PERSADA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0703240000246,08077993*******,08114506726____,,"Jl KH Wahid Hasyim 2, Sempaja Selatan, Samarinda Utara, Samarinda",1,0,1,LEGAL,Batu Gunung Quarry Besar,Batuan,KAB. DONGGALA,43.93,,,,,,,,,
AMARSHA,Perusahaan Komanditer (CV),Sulawesi Tengah,1811220100733,61794260*******,0811453917_____,,"JL. HAYAM WURUK NO. 12, Desa/Kelurahan Besusu Barat, Kec. Palu
Timur, Kota Palu, Provinsi Sulawesi Tengah",1,0,1,LEGAL,Pasir,Batuan,KAB. SIGI,15.00,,,,,,,,,
ANUGERAH BATU PUTIH,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120207423108,003312856*******,02139525581____,,GEDUNG TREASURY TOWER LT.69 DISTRICT 8 SCBD LOT.28 JL. JEND SUDIRMAN KAV.52-53 SENAYAN KEBAYORAN BARU,1,0,1,LEGAL,Batu Gamping,,KAB. MOROWALI,502.28,,,,,,,,,
ANUGERAH PERDANA MEMBANGUN,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,8120018182019,99520343*******,081341452277___,,"JALAN WIJAYA KUSUMA NOMOR 29, Desa/Kelurahan Gunungsari Ilir,
Kec. Balikpapan Tengah, Kota Balikpapan, Provinsi Kalimantan Timur,
Kode Pos: 76121",1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),Batuan,KAB. DONGGALA,15.00,,,,,,,,,
ANUGRAH AFIT ABADI,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,1283000730091,42867167*******,082193913338___,,"JL Yos Sudarso No 01, Kolonodale, Petasia",1,0,1,LEGAL,Batu Gamping untuk Industri,Mineral Bukan Logam Jenis Tertentu,KAB. MOROWALI UTARA,83.70,,,,,,,,,
ANUGRAH BATU AMPANA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,2911220072161,061882346*******,081311718071___,,"PONDOK INDAH OFFICE TOWER 2, LANTAI 11 UNIT 1101, JALAN SULTAN ISKANDAR MUDA KAV. V-TA",1,0,1,LEGAL,Kerikil Berpasir Alami (Sirtu),Batuan,KAB. TOJO UNA-UNA,387.09,,,,,,,,,
