,,Tar,get Renstra 2,019 : 85%,,,,,,,,,,,,,,,
24,Kalimantan Utara,2,8,10,0,0,0,0,0,0,,,,,,,,,
25,Sulawesi Utara,4,14,18,0,0,0,0,0,0,,,,,,,,,
26,Sulawesi Tengah,12,22,34,0,0,0,0,2,2,,,,,,,,,
27,Sulawesi Selatan,6,8,14,0,2,2,0,0,0,,,,,,,,,
28,Sulawesi Tenggara,4,14,18,0,0,0,0,0,0,,,,,,,,,
29,Gorontalo,0,0,0,0,0,0,0,0,0,,,,,,,,,
30,Sulawesi Barat,0,0,0,0,0,0,0,0,0,,,,,,,,,
31,Maluku,4,8,12,0,0,0,0,0,0,,,,,,,,,
32,Maluku Utara,2,4,6,0,0,0,0,4,4,,,,,,,,,
33,Papua Barat,0,8,8,0,0,0,0,0,0,,,,,,,,,
34,Papua,2,4,6,0,2,2,56,68,124,,,,,,,,,
Indonesia,,228,1.240,1.468,74,134,208,146,300,446,,,,,,,,,
No,Provinsi,Tenaga Psikologi Klinis,,,Tenaga Kesehatan Tradisional,,,,,,,,,,,,,,
,,,,,Tenaga Kesehatan Tradisional Ramuan,,,Tenaga Kesehatan Tradisional Keterampilan,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,
1,Aceh,8,46,54,0,0,0,0,0,0,,,,,,,,,
2,Sumatera Utara,2,16,18,0,0,0,0,0,0,,,,,,,,,
3,Sumatera Barat,6,30,36,0,0,0,0,0,0,,,,,,,,,
4,Riau,2,30,32,2,0,2,0,0,0,,,,,,,,,
5,Jambi,4,14,18,0,0,0,0,0,0,,,,,,,,,
6,Sumatera Selatan,8,60,68,10,6,16,0,8,8,,,,,,,,,
7,Bengkulu,6,6,12,0,0,0,0,0,0,,,,,,,,,
8,Lampung,4,10,14,0,0,0,0,0,0,,,,,,,,,
9,Kepulauan Bangka Belitung,0,14,14,0,0,0,0,0,0,,,,,,,,,
10,Kepulauan Riau,0,12,12,0,0,0,0,0,0,,,,,,,,,
11,DKI Jakarta,2,128,130,0,0,0,0,0,0,,,,,,,,,
12,Jawa Barat,12,64,76,0,0,0,0,0,0,,,,,,,,,
13,Jawa Tengah,30,180,210,0,0,0,0,0,0,,,,,,,,,
14,DI Yogyakarta,0,2,2,0,0,0,0,2,2,,,,,,,,,
15,Jawa Timur,22,156,178,0,2,2,0,0,0,,,,,,,,,
16,Banten,2,2,4,0,0,0,0,0,0,,,,,,,,,
17,Bali,6,34,40,0,0,0,0,0,0,,,,,,,,,
18,Nusa Tenggara Barat,4,28,32,0,0,0,0,0,0,,,,,,,,,
19,Nusa Tenggara Timur,2,8,10,0,0,0,0,0,0,,,,,,,,,
20,Kalimantan Barat,6,8,14,0,0,0,0,0,0,,,,,,,,,
21,Kalimantan Tengah,2,10,12,0,0,0,0,0,0,,,,,,,,,
22,Kalimantan Selatan,6,54,60,0,0,0,8,4,12,,,,,,,,,
23,Kalimantan Timur,2,6,8,0,0,0,0,0,0,,,,,,,,,
24,Kalimantan Utara,2,2,4,0,0,0,0,0,0,,,,,,,,,
25,Sulawesi Utara,2,10,12,0,0,0,0,0,0,,,,,,,,,
26,Sulawesi Tengah,10,8,18,0,0,0,0,0,0,,,,,,,,,
27,Sulawesi Selatan,4,4,8,0,0,0,0,0,0,,,,,,,,,
28,Sulawesi Tenggara,4,14,18,0,0,0,0,0,0,,,,,,,,,
29,Gorontalo,0,0,0,0,0,0,0,0,0,,,,,,,,,
30,Sulawesi Barat,0,0,0,0,0,0,0,0,0,,,,,,,,,
31,Maluku,4,8,12,0,0,0,0,0,0,,,,,,,,,
32,Maluku Utara,0,2,2,0,0,0,0,0,0,,,,,,,,,
33,Papua Barat,0,8,8,0,0,0,0,0,0,,,,,,,,,
34,Papua,0,4,4,0,0,0,0,0,0,,,,,,,,,
Indonesia,,162,978,1.140,12,8,20,8,14,22,,,,,,,,,
No,Provinsi,Jumlah RS,Jumlah RS yang Melakukan Pengelolaan Limbah Medis,%,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),,,,,,,,,,,,,,,
1,Aceh,75,9,"12,00",,,,,,,,,,,,,,,
2,Sumatera Utara,199,31,"15,58",,,,,,,,,,,,,,,
3,Sumatera Barat,81,45,"55,56",,,,,,,,,,,,,,,
4,Riau,78,43,"55,13",,,,,,,,,,,,,,,
5,Jambi,40,11,"27,50",,,,,,,,,,,,,,,
6,Sumatera Selatan,73,9,"12,33",,,,,,,,,,,,,,,
7,Bengkulu,29,18,"62,07",,,,,,,,,,,,,,,
8,Lampung,99,81,"81,82",,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,23,15,"65,22",,,,,,,,,,,,,,,
10,Kepulauan Riau,29,8,"27,59",,,,,,,,,,,,,,,
11,DKI Jakarta,191,184,"96,34",,,,,,,,,,,,,,,
12,Jawa Barat,330,144,"43,64",,,,,,,,,,,,,,,
13,Jawa Tengah,295,175,"59,32",,,,,,,,,,,,,,,
14,DI Yogyakarta,75,72,"96,00",,,,,,,,,,,,,,,
15,Jawa Timur,372,66,"17,74",,,,,,,,,,,,,,,
16,Banten,121,71,"58,68",,,,,,,,,,,,,,,
17,Bali,57,42,"73,68",,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,32,7,"21,88",,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,59,12,"20,34",,,,,,,,,,,,,,,
20,Kalimantan Barat,50,7,"14,00",,,,,,,,,,,,,,,
21,Kalimantan Tengah,30,17,"56,67",,,,,,,,,,,,,,,
22,Kalimantan Selatan,44,9,"20,45",,,,,,,,,,,,,,,
23,Kalimantan Timur,53,32,"60,38",,,,,,,,,,,,,,,
24,Kalimantan Utara,8,5,"62,50",,,,,,,,,,,,,,,
25,Sulawesi Utara,45,1,"2,22",,,,,,,,,,,,,,,
26,Sulawesi Tengah,46,32,"69,57",,,,,,,,,,,,,,,
27,Sulawesi Selatan,110,47,"42,73",,,,,,,,,,,,,,,
28,Sulawesi Tenggara,40,7,"17,50",,,,,,,,,,,,,,,
29,Gorontalo,17,5,"29,41",,,,,,,,,,,,,,,
30,Sulawesi Barat,14,1,"7,14",,,,,,,,,,,,,,,
31,Maluku,35,2,"5,71",,,,,,,,,,,,,,,
32,Maluku Utara,26,3,"11,54",,,,,,,,,,,,,,,
33,Papua Barat,22,8,"36,36",,,,,,,,,,,,,,,
34,Papua,63,1,"1,59",,,,,,,,,,,,,,,
Indonesia,,2.861,1.220,"42,64",,,,,,,,,,,,,,,
