,,,,,Targe,tRPJM,N 202,1: 85%,,,,,,,,,,,,,,,,,,,
16,Banten,1.122,1.455,2.577,4.125,2.970,9.307,12.277,2.525,441,777,1.218,1.648,4.533,11.539,16.072,8.298,,,,,,,,,,
17,Bali,570,1.198,1.768,2.537,2.556,6.366,8.922,2.231,345,818,1.163,756,3.471,8.382,11.853,5.524,,,,,,,,,,
18,Nusa Tenggara Barat,1.981,3.021,5.002,4.679,1.793,3.006,4.799,1.379,278,374,652,190,4.052,6.401,10.453,6.248,,,,,,,,,,
19,Nusa Tenggara Timur,2.349,5.292,7.641,8.223,1.323,3.964,5.287,1.800,148,236,384,130,3.820,9.492,13.312,10.153,,,,,,,,,,
20,Kalimantan Barat,2.025,2.342,4.367,4.106,1.848,3.720,5.568,1.209,316,319,635,704,4.189,6.381,10.570,6.019,,,,,,,,,,
21,Kalimantan Tengah,1.615,2.182,3.797,3.133,1.115,2.140,3.255,872,244,198,442,289,2.974,4.520,7.494,4.294,,,,,,,,,,
22,Kalimantan Selatan,1.104,1.562,2.666,3.511,2.361,3.409,5.770,1.385,409,279,688,261,3.874,5.250,9.124,5.157,,,,,,,,,,
23,Kalimantan Timur,837,1.647,2.484,2.421,2.044,5.039,7.083,1.514,504,600,1.104,746,3.385,7.286,10.671,4.681,,,,,,,,,,
24,Kalimantan Utara,317,608,925,717,440,908,1.348,361,64,90,154,89,821,1.606,2.427,1.167,,,,,,,,,,
25,Sulawesi Utara,399,2.114,2.513,1.541,1.352,4.490,5.842,801,115,231,346,46,1.866,6.835,8.701,2.388,,,,,,,,,,
26,Sulawesi Tengah,1.062,2.394,3.456,4.289,1.237,3.267,4.504,1.463,183,202,385,68,2.482,5.863,8.345,5.820,,,,,,,,,,
27,Sulawesi Selatan,1.384,5.885,7.269,9.277,2.804,10.829,13.633,3.518,280,603,883,349,4.468,17.317,21.785,13.144,,,,,,,,,,
28,Sulawesi Tenggara,982,3.053,4.035,4.633,884,2.207,3.091,1.015,109,163,272,114,1.975,5.423,7.398,5.762,,,,,,,,,,
29,Gorontalo,292,745,1.037,1.197,532,1.295,1.827,562,48,65,113,61,872,2.105,2.977,1.820,,,,,,,,,,
30,Sulawesi Barat,495,1.461,1.956,2.763,352,975,1.327,602,24,43,67,50,871,2.479,3.350,3.415,,,,,,,,,,
31,Maluku,733,1.950,2.683,1.530,590,2.070,2.660,621,117,278,395,85,1.440,4.298,5.738,2.236,,,,,,,,,,
32,Maluku Utara,468,964,1.432,2.010,423,1.177,1.600,611,121,109,230,61,1.012,2.250,3.262,2.682,,,,,,,,,,
33,Papua Barat,780,1.485,2.265,1.529,489,1.171,1.660,493,97,57,154,45,1.366,2.713,4.079,2.067,,,,,,,,,,
34,Papua,1.628,2.714,4.342,2.639,1.088,2.696,3.784,997,130,129,259,89,2.846,5.539,8.385,3.725,,,,,,,,,,
Indonesia,,47.399,95.260,142.659,188.963,94.622,239.469,334.091,74.447,12.281,22.160,34.441,25.276,154.302,356.889,511.191,288.686,,,,,,,,,,
No,Provinsi,Kesehatan Masyarakat,,,Kesehatan Lingkungan,,,Gizi,,,,,,,,,,,,,,,,,,,
,,L,P,L+P,L,P,L+P,L,P,L+P,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,
1,Aceh,412,"1,716","2,128",163,696,859,47,621,668,,,,,,,,,,,,,,,,,
2,Sumatera Utara,313,"1,460","1,773",109,347,456,56,618,674,,,,,,,,,,,,,,,,,
3,Sumatera Barat,106,492,598,92,286,378,24,479,503,,,,,,,,,,,,,,,,,
4,Riau,175,501,676,81,163,244,25,322,347,,,,,,,,,,,,,,,,,
5,Jambi,152,362,514,70,222,292,34,282,316,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,273,925,"1,198",84,385,469,43,406,449,,,,,,,,,,,,,,,,,
7,Bengkulu,181,406,587,65,122,187,30,223,253,,,,,,,,,,,,,,,,,
8,Lampung,215,458,673,144,310,454,63,367,430,,,,,,,,,,,,,,,,,
9,Kep. Bangka Belitung,54,129,183,30,75,105,19,127,146,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,41,107,148,38,100,138,11,106,117,,,,,,,,,,,,,,,,,
11,DKI Jakarta,36,228,264,116,237,353,31,376,407,,,,,,,,,,,,,,,,,
12,Jawa Barat,496,"1,293","1,789",320,806,"1,126",116,"1,025","1,141",,,,,,,,,,,,,,,,,
13,Jawa Tengah,324,"1,438","1,762",360,868,"1,228",147,"1,230","1,377",,,,,,,,,,,,,,,,,
14,DI Yogyakarta,50,202,252,60,122,182,36,212,248,,,,,,,,,,,,,,,,,
15,Jawa Timur,186,"1,051","1,237",270,758,"1,028",230,"1,230","1,460",,,,,,,,,,,,,,,,,
16,Banten,98,273,371,53,163,216,24,261,285,,,,,,,,,,,,,,,,,
17,Bali,53,125,178,93,128,221,31,179,210,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,160,333,493,107,291,398,110,477,587,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,463,705,"1,168",322,459,781,223,728,951,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,163,279,442,165,224,389,84,378,462,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,118,216,334,76,104,180,47,292,339,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,162,336,498,128,255,383,119,526,645,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,117,336,453,60,152,212,45,176,221,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,41,97,138,29,42,71,15,61,76,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,92,406,498,126,210,336,66,307,373,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,297,803,"1,100",125,239,364,54,274,328,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,348,"1,306","1,654",176,619,795,68,757,825,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,292,"1,094","1,386",110,260,370,82,505,587,,,,,,,,,,,,,,,,,
29,Gorontalo,66,375,441,41,110,151,45,243,288,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,81,332,413,65,119,184,26,177,203,,,,,,,,,,,,,,,,,
31,Maluku,123,354,477,143,204,347,61,345,406,,,,,,,,,,,,,,,,,
32,Maluku Utara,137,472,609,46,94,140,26,228,254,,,,,,,,,,,,,,,,,
33,Papua Barat,68,208,276,50,52,102,26,205,231,,,,,,,,,,,,,,,,,
34,Papua,203,416,619,145,151,296,61,281,342,,,,,,,,,,,,,,,,,
Indonesia,,"6,096","19,234","25,330","4,062","9,373","13,435","2,125","14,024","16,149",,,,,,,,,,,,,,,,,
No,Provinsi,Ahli Teknologi Laboratorium Medik,,,Tenaga Teknik Biomedika Lainnya,,,Keterapian Fisik,,,Keteknisian Medis,,,,,,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,,,,,,,,,
1,Aceh,35,391,426,5,14,19,19,98,117,95,489,584,,,,,,,,,,,,,,
2,Sumatera Utara,64,424,488,6,12,18,9,17,26,51,381,432,,,,,,,,,,,,,,
3,Sumatera Barat,50,317,367,3,3,6,6,26,32,68,506,574,,,,,,,,,,,,,,
4,Riau,42,271,313,0,5,5,4,30,34,27,184,211,,,,,,,,,,,,,,
5,Jambi,65,252,317,0,0,0,4,13,17,51,267,318,,,,,,,,,,,,,,
6,Sumatera Selatan,52,329,381,1,10,11,4,22,26,51,400,451,,,,,,,,,,,,,,
7,Bengkulu,40,170,210,4,3,7,2,1,3,2,46,48,,,,,,,,,,,,,,
8,Lampung,71,299,370,3,3,6,0,3,3,80,261,341,,,,,,,,,,,,,,
9,Kep. Bangka Belitung,26,94,120,1,0,1,1,0,1,32,119,151,,,,,,,,,,,,,,
10,Kepulauan Riau,22,64,86,1,0,1,0,2,2,8,61,69,,,,,,,,,,,,,,
11,DKI Jakarta,132,226,358,3,3,6,0,8,8,84,281,365,,,,,,,,,,,,,,
12,Jawa Barat,230,915,"1,145",6,17,23,15,21,36,313,"1,094","1,407",,,,,,,,,,,,,,
13,Jawa Tengah,234,"1,056","1,290",21,21,42,63,159,222,331,"1,274","1,605",,,,,,,,,,,,,,
14,DI Yogyakarta,34,208,242,0,5,5,23,38,61,52,295,347,,,,,,,,,,,,,,
15,Jawa Timur,228,"1,086","1,314",16,17,33,37,54,91,307,935,"1,242",,,,,,,,,,,,,,
16,Banten,33,168,201,3,1,4,4,12,16,43,165,208,,,,,,,,,,,,,,
17,Bali,36,112,148,5,0,5,2,3,5,56,172,228,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,81,357,438,20,6,26,4,10,14,128,239,367,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,160,433,593,8,2,10,6,28,34,139,491,630,,,,,,,,,,,,,,
20,Kalimantan Barat,81,266,347,5,1,6,1,2,3,151,334,485,,,,,,,,,,,,,,
21,Kalimantan Tengah,59,178,237,0,0,0,1,0,1,68,159,227,,,,,,,,,,,,,,
22,Kalimantan Selatan,67,339,406,3,1,4,3,5,8,93,353,446,,,,,,,,,,,,,,
23,Kalimantan Timur,48,218,266,0,1,1,0,4,4,43,89,132,,,,,,,,,,,,,,
24,Kalimantan Utara,20,41,61,1,0,1,0,1,1,19,32,51,,,,,,,,,,,,,,
25,Sulawesi Utara,34,62,96,4,1,5,4,22,26,37,185,222,,,,,,,,,,,,,,
26,Sulawesi Tengah,43,114,157,2,0,2,0,2,2,49,91,140,,,,,,,,,,,,,,
27,Sulawesi Selatan,78,508,586,4,5,9,6,14,20,111,533,644,,,,,,,,,,,,,,
28,Sulawesi Tenggara,44,215,259,3,4,7,3,12,15,40,163,203,,,,,,,,,,,,,,
29,Gorontalo,24,50,74,0,0,0,0,0,0,6,31,37,,,,,,,,,,,,,,
30,Sulawesi Barat,25,86,111,0,0,0,0,6,6,18,55,73,,,,,,,,,,,,,,
31,Maluku,40,163,203,2,3,5,1,1,2,11,28,39,,,,,,,,,,,,,,
32,Maluku Utara,36,131,167,2,6,8,4,5,9,13,38,51,,,,,,,,,,,,,,
33,Papua Barat,44,105,149,0,1,1,0,2,2,11,26,37,,,,,,,,,,,,,,
34,Papua,116,251,367,3,2,5,1,3,4,15,38,53,,,,,,,,,,,,,,
Indonesia,,"2,394","9,899","12,293",135,147,282,227,624,851,"2,603","9,815","12,418",,,,,,,,,,,,,,
No,Provinsi,Tenaga Kefarmasian,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tenaga Kefarmasiana,,,Apoteker,,,Total,,,,,,,,,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,
1,Aceh,66,552,618,27,171,198,93,723,816,,,,,,,,,,,,,,,,,
2,Sumatera Utara,76,477,553,37,250,287,113,727,840,,,,,,,,,,,,,,,,,
3,Sumatera Barat,36,270,306,24,160,184,60,430,490,,,,,,,,,,,,,,,,,
4,Riau,41,283,324,30,162,192,71,445,516,,,,,,,,,,,,,,,,,
5,Jambi,27,248,275,25,141,166,52,389,441,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,55,385,440,46,180,226,101,565,666,,,,,,,,,,,,,,,,,
7,Bengkulu,20,114,134,15,72,87,35,186,221,,,,,,,,,,,,,,,,,
8,Lampung,54,192,246,41,164,205,95,356,451,,,,,,,,,,,,,,,,,
9,Kep. Bangka Belitung,13,81,94,23,53,76,36,134,170,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,16,59,75,23,72,95,39,131,170,,,,,,,,,,,,,,,,,
11,DKI Jakarta,135,458,593,46,142,188,181,600,781,,,,,,,,,,,,,,,,,
12,Jawa Barat,144,696,840,226,691,917,370,"1,387","1,757",,,,,,,,,,,,,,,,,
13,Jawa Tengah,149,884,"1,033",124,598,722,273,"1,482","1,755",,,,,,,,,,,,,,,,,
14,DI Yogyakarta,20,140,160,21,123,144,41,263,304,,,,,,,,,,,,,,,,,
15,Jawa Timur,140,814,954,101,495,596,241,"1,309","1,550",,,,,,,,,,,,,,,,,
16,Banten,36,130,166,41,214,255,77,344,421,,,,,,,,,,,,,,,,,
17,Bali,17,86,103,33,60,93,50,146,196,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,88,218,306,43,144,187,131,362,493,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,105,426,531,41,134,175,146,560,706,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,55,211,266,45,113,158,100,324,424,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,51,167,218,32,114,146,83,281,364,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,54,241,295,57,152,209,111,393,504,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,50,188,238,42,143,185,92,331,423,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,12,60,72,16,49,65,28,109,137,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,34,159,193,26,97,123,60,256,316,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,52,294,346,34,135,169,86,429,515,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,52,466,518,58,428,486,110,894,"1,004",,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,59,247,306,40,216,256,99,463,562,,,,,,,,,,,,,,,,,
29,Gorontalo,8,84,92,6,54,60,14,138,152,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,19,133,152,24,70,94,43,203,246,,,,,,,,,,,,,,,,,
31,Maluku,28,65,93,22,105,127,50,170,220,,,,,,,,,,,,,,,,,
32,Maluku Utara,24,79,103,15,83,98,39,162,201,,,,,,,,,,,,,,,,,
33,Papua Barat,14,57,71,21,95,116,35,152,187,,,,,,,,,,,,,,,,,
34,Papua,77,166,243,36,117,153,113,283,396,,,,,,,,,,,,,,,,,
Indonesia,,"1,827","9,130","10,957","1,441","5,997","7,438","3,268","15,127","18,395",,,,,,,,,,,,,,,,,
No,Provinsi,Tenaga Penunjang/Pendukung Kesehatan,,,,,,,,,Total,,,,,,,,,,,,,,,,
,,Pejabat Struktural,,,Tenaga Pendidik,,,Tenaga Dukungan Manajemen,,,,,,,,,,,,,,,,,,,
,,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,,,,,,,,,
1,Aceh,108,142,250,0,2,2,"1,213","1,405","2,618","1,321","1,549","2,870",,,,,,,,,,,,,,
2,Sumatera Utara,94,177,271,0,2,2,783,899,"1,682",877,"1,078","1,955",,,,,,,,,,,,,,
3,Sumatera Barat,55,121,176,0,0,0,936,962,"1,898",991,"1,083","2,074",,,,,,,,,,,,,,
4,Riau,69,53,122,1,0,1,910,716,"1,626",980,769,"1,749",,,,,,,,,,,,,,
5,Jambi,102,61,163,0,0,0,429,482,911,531,543,"1,074",,,,,,,,,,,,,,
6,Sumatera Selatan,144,163,307,1,0,1,882,993,"1,875","1,027","1,156","2,183",,,,,,,,,,,,,,
7,Bengkulu,81,101,182,0,0,0,271,357,628,352,458,810,,,,,,,,,,,,,,
8,Lampung,142,111,253,0,1,1,999,"1,204","2,203","1,141","1,316","2,457",,,,,,,,,,,,,,
9,Kep. Bangka Belitung,32,37,69,0,0,0,329,356,685,361,393,754,,,,,,,,,,,,,,
10,Kepulauan Riau,63,66,129,0,0,0,464,436,900,527,502,"1,029",,,,,,,,,,,,,,
11,DKI Jakarta,26,55,81,0,0,0,"2,862","1,243","4,105","2,888","1,298","4,186",,,,,,,,,,,,,,
12,Jawa Barat,492,358,850,0,1,1,"5,341","4,381","9,722","5,833","4,740","10,573",,,,,,,,,,,,,,
13,Jawa Tengah,275,282,557,0,0,0,"5,369","4,429","9,798","5,644","4,711","10,355",,,,,,,,,,,,,,
14,DI Yogyakarta,45,66,111,0,0,0,938,736,"1,674",983,802,"1,785",,,,,,,,,,,,,,
15,Jawa Timur,197,182,379,1,0,1,"6,575","5,158","11,733","6,773","5,340","12,113",,,,,,,,,,,,,,
16,Banten,108,139,247,1,0,1,"1,804",948,"2,752","1,913","1,087","3,000",,,,,,,,,,,,,,
17,Bali,56,34,90,0,1,1,"1,439","1,492","2,931","1,495","1,527","3,022",,,,,,,,,,,,,,
18,Nusa Tenggara Barat,177,69,246,1,2,3,"1,137",763,"1,900","1,315",834,"2,149",,,,,,,,,,,,,,
19,Nusa Tenggara Timur,80,61,141,1,0,1,"1,321",989,"2,310","1,402","1,050","2,452",,,,,,,,,,,,,,
20,Kalimantan Barat,144,59,203,1,0,1,730,853,"1,583",875,912,"1,787",,,,,,,,,,,,,,
21,Kalimantan Tengah,129,56,185,0,0,0,477,586,"1,063",606,642,"1,248",,,,,,,,,,,,,,
22,Kalimantan Selatan,164,112,276,0,0,0,757,789,"1,546",921,901,"1,822",,,,,,,,,,,,,,
23,Kalimantan Timur,139,99,238,0,0,0,933,"1,094","2,027","1,072","1,193","2,265",,,,,,,,,,,,,,
24,Kalimantan Utara,24,20,44,0,0,0,301,245,546,325,265,590,,,,,,,,,,,,,,
25,Sulawesi Utara,19,17,36,0,0,0,331,353,684,350,370,720,,,,,,,,,,,,,,
26,Sulawesi Tengah,64,40,104,0,0,0,460,519,979,524,559,"1,083",,,,,,,,,,,,,,
27,Sulawesi Selatan,88,103,191,0,0,0,"1,048","1,207","2,255","1,136","1,310","2,446",,,,,,,,,,,,,,
28,Sulawesi Tenggara,109,108,217,4,1,5,321,396,717,434,505,939,,,,,,,,,,,,,,
29,Gorontalo,24,40,64,0,0,0,220,406,626,244,446,690,,,,,,,,,,,,,,
30,Sulawesi Barat,38,51,89,0,0,0,282,341,623,320,392,712,,,,,,,,,,,,,,
31,Maluku,55,47,102,0,0,0,275,274,549,330,321,651,,,,,,,,,,,,,,
32,Maluku Utara,69,45,114,0,0,0,129,147,276,198,192,390,,,,,,,,,,,,,,
33,Papua Barat,62,33,95,0,0,0,206,180,386,268,213,481,,,,,,,,,,,,,,
34,Papua,162,107,269,0,2,2,520,453,973,682,562,"1,244",,,,,,,,,,,,,,
Indonesia,,"3,636","3,215","6,851",11,12,23,"40,992","35,792","76,784","44,639","39,019","83,658",,,,,,,,,,,,,,
No,Provinsi,Tenaga Psikologi Klinis,,,Tenaga Kesehatan Tradisional,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tenaga Kesehatan Tradisional Ramuan,,,Tenaga Kesehatan Tradisional Keterampilan,,,,,,,,,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,
1,Aceh,3,22,25,0,0,0,0,1,1,,,,,,,,,,,,,,,,,
2,Sumatera Utara,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
3,Sumatera Barat,0,0,0,0,1,1,0,1,1,,,,,,,,,,,,,,,,,
4,Riau,0,2,2,0,1,1,0,1,1,,,,,,,,,,,,,,,,,
5,Jambi,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,2,5,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
7,Bengkulu,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
8,Lampung,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
9,Kep. Bangka Belitung,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
11,DKI Jakarta,4,18,22,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
12,Jawa Barat,0,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
13,Jawa Tengah,0,0,0,0,1,1,0,1,1,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,5,56,61,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
15,Jawa Timur,10,48,58,5,30,35,5,30,35,,,,,,,,,,,,,,,,,
16,Banten,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
17,Bali,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,0,0,0,0,1,1,0,1,1,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,0,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,1,5,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,1,4,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
29,Gorontalo,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
31,Maluku,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
32,Maluku Utara,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
33,Papua Barat,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
34,Papua,1,0,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,
Indonesia,,27,171,198,5,35,40,5,36,41,,,,,,,,,,,,,,,,,
No,Provinsi,Fasilitas Kesehatan Tingkat Pertama,,,,,Total,,,,,,,,,,,,,,,,,,,,
,,Dokter Praktik Perorangan,Klinik Pratama,Puskesmas,RS Tipe D Pratama,Lainnya,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(8),(9),,,,,,,,,,,,,,,,,,,,
1,Aceh,84,190,359,0,4,637,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,131,543,608,3,8,1293,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,112,149,278,2,37,578,,,,,,,,,,,,,,,,,,,,
4,Riau,8,124,86,1,1,220,,,,,,,,,,,,,,,,,,,,
5,Jambi,68,78,202,0,19,367,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,241,240,346,2,36,865,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,97,47,179,0,16,339,,,,,,,,,,,,,,,,,,,,
8,Lampung,123,200,312,0,8,643,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,30,35,64,3,6,138,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,8,124,86,1,1,220,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,17,358,320,0,1,696,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,487,1422,1086,0,62,3057,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,1090,760,879,0,310,3039,,,,,,,,,,,,,,,,,,,,
14,D I Yogyakarta,109,129,121,0,32,391,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,701,828,970,0,232,2731,,,,,,,,,,,,,,,,,,,,
16,Banten,8,424,245,0,3,680,,,,,,,,,,,,,,,,,,,,
17,Bali,310,133,120,1,92,656,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,112,63,175,1,11,362,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,95,84,420,5,31,635,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,91,89,246,2,13,441,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,118,158,187,3,43,509,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,153,103,237,0,37,530,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,118,158,187,3,43,509,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,29,25,57,4,5,120,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,155,61,195,1,33,445,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,42,53,208,5,11,319,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,190,216,468,5,79,958,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,69,37,293,1,13,413,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,27,36,93,0,9,165,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,37,21,98,1,7,164,,,,,,,,,,,,,,,,,,,,
31,Maluku,33,26,215,0,7,281,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,31,21,145,1,8,206,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,61,58,423,4,10,556,,,,,,,,,,,,,,,,,,,,
34,Papua,18,22,160,0,3,203,,,,,,,,,,,,,,,,,,,,
Indonesia,,5.003,7.015,10.068,49,1.231,23.366,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,Puskesmas Melaksanakan Kelas Ibu Hamil,,Puskesmas Melaksanakan P4K,,Jumlah RTK,,,,,,,,,,,,,,,,,,,,
,,,Jumlah,%,Jumlah,%,Jumlah,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),,,,,,,,,,,,,,,,,,,,
1,Aceh,359,295,"82,2",327,"91,1",117,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,608,469,"77,1",482,"79,3",151,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,276,248,"89,9",256,"92,8",74,,,,,,,,,,,,,,,,,,,,
4,Riau,231,216,"93,5",231,"100,0",41,,,,,,,,,,,,,,,,,,,,
5,Jambi,207,195,"94,2",207,"100,0",52,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,344,344,"100,0",304,"88,4",93,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,179,179,"100,0",179,"100,0",67,,,,,,,,,,,,,,,,,,,,
8,Lampung,312,312,"100,0",312,"100,0",96,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,64,"100,0",64,"100,0",41,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,88,88,"100,0",88,"100,0",15,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,315,212,"67,3",270,"85,7",0,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1083,984,"90,9",1021,"94,3",33,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,878,696,"79,3",878,"100,0",40,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,115,"95,0",121,"100,0",8,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,968,901,"93,1",888,"91,7",47,,,,,,,,,,,,,,,,,,,,
16,Banten,245,230,"93,9",245,"100,0",10,,,,,,,,,,,,,,,,,,,,
17,Bali,120,82,"68,3",120,"100,0",30,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,174,174,"100,0",120,"69,0",29,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,410,382,"93,2",173,"42,2",54,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,246,200,"81,3",235,"95,5",149,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,205,164,"80,0",205,"100,0",45,,,,,,,,,,,,,,,,,,,,
