,,Targe,t Renstra 20,19 : 90%,,,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,1.020,1.472,2.492,3.467,1.562,2.291,3.853,994,97,92,189,75,2.679,3.855,6.534,4.536,,,,,,,,,,
23,Kalimantan Timur,746,1.474,2.220,2.196,1.185,2.656,3.841,947,12,60,72,50,1.943,4.190,6.133,3.193,,,,,,,,,,
24,Kalimantan Utara,327,592,919,710,183,455,638,217,10,20,30,10,520,1.067,1.587,937,,,,,,,,,,
25,Sulawesi Utara,328,1.662,1.990,1.152,559,2.240,2.799,444,33,77,110,18,920,3.979,4.899,1.614,,,,,,,,,,
26,Sulawesi Tengah,862,1.956,2.818,3.630,618,2.023,2.641,939,51,69,120,54,1.531,4.048,5.579,4.623,,,,,,,,,,
27,Sulawesi Selatan,1.129,4.493,5.622,6.436,1.473,5.982,7.455,2.126,104,198,302,185,2.706,10.673,13.379,8.747,,,,,,,,,,
28,Sulawesi Tenggara,716,1.961,2.677,3.044,656,1.888,2.544,909,40,66,106,36,1.412,3.915,5.327,3.989,,,,,,,,,,
29,Gorontalo,258,681,939,1.062,310,899,1.209,361,25,46,71,33,593,1.626,2.219,1.456,,,,,,,,,,
30,Sulawesi Barat,222,641,863,986,143,500,643,157,12,32,44,35,377,1.173,1.550,1.178,,,,,,,,,,
31,Maluku,469,1.332,1.801,1.006,345,1.331,1.676,420,45,89,134,30,859,2.752,3.611,1.456,,,,,,,,,,
32,Maluku Utara,357,668,1.025,1.456,264,720,984,379,23,30,53,30,644,1.418,2.062,1.865,,,,,,,,,,
33,Papua Barat,424,858,1.282,854,233,660,893,276,12,21,33,12,669,1.539,2.208,1.142,,,,,,,,,,
34,Papua,1.071,1.731,2.802,1.762,513,1.320,1.833,470,45,46,91,46,1.629,3.097,4.726,2.278,,,,,,,,,,
Indonesia,,38.756,75.764,114.520,151.529,61.201,158.991,220.192,50.869,3.784,7.012,10.796,7.870,103.741,241.767,345.508,210.268,,,,,,,,,,
No,Provinsi,Kesehatan Masyarakat,,,Kesehatan Lingkungan,,,Gizi,,,,,,,,,,,,,,,,,,,
,,L,P,L+P,L,P,L+P,L,P,L+P,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,
1,Aceh,446,1.432,1.878,222,622,844,77,702,779,,,,,,,,,,,,,,,,,
2,Sumatera Utara,406,1.617,2.023,219,434,653,106,970,1.076,,,,,,,,,,,,,,,,,
3,Sumatera Barat,130,477,607,128,359,487,85,762,847,,,,,,,,,,,,,,,,,
4,Riau,200,518,718,86,180,266,32,484,516,,,,,,,,,,,,,,,,,
5,Jambi,171,348,519,149,266,415,51,370,421,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,387,1.159,1.546,135,573,708,61,678,739,,,,,,,,,,,,,,,,,
7,Bengkulu,248,621,869,107,123,230,52,356,408,,,,,,,,,,,,,,,,,
8,Lampung,258,527,785,196,346,542,86,443,529,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,92,220,312,43,117,160,38,192,230,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,71,139,210,74,131,205,22,166,188,,,,,,,,,,,,,,,,,
11,DKI Jakarta,94,283,377,186,336,522,179,1.115,1.294,,,,,,,,,,,,,,,,,
12,Jawa Barat,816,1.486,2.302,461,799,1.260,280,1.674,1.954,,,,,,,,,,,,,,,,,
13,Jawa Tengah,448,1.443,1.891,604,1.073,1.677,285,2.296,2.581,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,67,213,280,141,169,310,86,514,600,,,,,,,,,,,,,,,,,
15,Jawa Timur,365,1.432,1.797,502,937,1.439,441,2.639,3.080,,,,,,,,,,,,,,,,,
16,Banten,161,349,510,82,201,283,67,402,469,,,,,,,,,,,,,,,,,
17,Bali,103,257,360,175,236,411,73,431,504,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,160,286,446,167,366,533,117,555,672,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,285,486,771,238,431,669,157,587,744,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,159,341,500,221,265,486,107,466,573,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,140,253,393,86,138,224,57,398,455,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,178,338,516,206,301,507,137,706,843,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,130,321,451,94,200,294,64,243,307,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,68,138,206,31,42,73,16,96,112,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,82,340,422,161,285,446,77,322,399,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,394,1.073,1.467,185,322,507,59,373,432,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,488,1.566,2.054,219,732,951,109,1.071,1.180,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,340,1.077,1.417,140,351,491,109,658,767,,,,,,,,,,,,,,,,,
29,Gorontalo,105,501,606,72,151,223,61,343,404,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,51,190,241,42,85,127,15,142,157,,,,,,,,,,,,,,,,,
31,Maluku,121,375,496,152,238,390,65,404,469,,,,,,,,,,,,,,,,,
32,Maluku Utara,132,500,632,41,88,129,33,262,295,,,,,,,,,,,,,,,,,
33,Papua Barat,62,150,212,46,50,96,25,159,184,,,,,,,,,,,,,,,,,
34,Papua,156,336,492,150,178,328,65,320,385,,,,,,,,,,,,,,,,,
Indonesia,,7.514,20.792,28.306,5.761,11.125,16.886,3.294,21.299,24.593,,,,,,,,,,,,,,,,,
No,Provinsi,Kesehatan Masyarakat,,,Kesehatan Lingkungan,,,Gizi,,,,,,,,,,,,,,,,,,,
,,L,P,L+P,L,P,L+P,L,P,L+P,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,
1,Aceh,253,999,1.252,137,468,605,46,422,468,,,,,,,,,,,,,,,,,
2,Sumatera Utara,226,1.077,1.303,146,325,471,65,607,672,,,,,,,,,,,,,,,,,
3,Sumatera Barat,67,315,382,82,256,338,26,386,412,,,,,,,,,,,,,,,,,
4,Riau,131,323,454,63,122,185,18,237,255,,,,,,,,,,,,,,,,,
5,Jambi,106,230,336,77,190,267,32,185,217,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,266,772,1.038,79,408,487,38,338,376,,,,,,,,,,,,,,,,,
7,Bengkulu,158,379,537,62,85,147,27,161,188,,,,,,,,,,,,,,,,,
8,Lampung,189,365,554,143,261,404,64,271,335,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,50,127,177,23,75,98,26,115,141,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,28,80,108,39,76,115,8,80,88,,,,,,,,,,,,,,,,,
11,DKI Jakarta,17,86,103,113,238,351,34,358,392,,,,,,,,,,,,,,,,,
12,Jawa Barat,463,981,1.444,337,637,974,126,898,1.024,,,,,,,,,,,,,,,,,
13,Jawa Tengah,267,999,1.266,368,744,1.112,145,1.006,1.151,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,46,129,175,63,91,154,36,163,199,,,,,,,,,,,,,,,,,
15,Jawa Timur,212,808,1.020,296,593,889,238,977,1.215,,,,,,,,,,,,,,,,,
16,Banten,100,194,294,51,152,203,25,201,226,,,,,,,,,,,,,,,,,
17,Bali,39,93,132,116,123,239,32,146,178,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,105,185,290,106,267,373,97,340,437,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,201,347,548,183,351,534,133,414,547,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,109,232,341,166,209,375,74,322,396,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,99,168,267,71,108,179,41,277,318,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,124,250,374,133,236,369,99,480,579,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,95,249,344,58,153,211,48,141,189,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,38,79,117,26,30,56,8,52,60,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,45,216,261,116,220,336,50,224,274,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,239,667,906,129,246,375,44,236,280,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,276,881,1.157,136,510,646,64,621,685,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,234,714,948,96,256,352,86,455,541,,,,,,,,,,,,,,,,,
29,Gorontalo,58,338,396,44,111,155,38,224,262,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,33,129,162,35,68,103,12,101,113,,,,,,,,,,,,,,,,,
31,Maluku,51,185,236,106,147,253,44,244,288,,,,,,,,,,,,,,,,,
32,Maluku Utara,64,290,354,27,61,88,27,151,178,,,,,,,,,,,,,,,,,
33,Papua Barat,37,90,127,35,31,66,17,109,126,,,,,,,,,,,,,,,,,
34,Papua,90,208,298,84,119,203,44,203,247,,,,,,,,,,,,,,,,,
Indonesia,,4.516,13.185,17.701,3.746,7.967,11.713,1.912,11.145,13.057,,,,,,,,,,,,,,,,,
No,Provinsi,Ahli Teknologi Laboratorium Medik,,,Tenaga Teknik Biomedika Lainnya,,,Keterapian Fisik,,,Keteknisian Medis,,,,,,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,,,,,,,,,
1,Aceh,81,757,838,212,206,418,64,239,303,177,747,924,,,,,,,,,,,,,,
2,Sumatera Utara,190,985,1.175,155,226,381,85,160,245,171,723,894,,,,,,,,,,,,,,
3,Sumatera Barat,140,812,952,211,163,374,60,132,192,226,1.102,1.328,,,,,,,,,,,,,,
4,Riau,108,641,749,93,124,217,38,116,154,147,406,553,,,,,,,,,,,,,,
5,Jambi,132,567,699,69,64,133,29,85,114,101,430,531,,,,,,,,,,,,,,
6,Sumatera Selatan,147,833,980,146,200,346,44,166,210,194,853,1.047,,,,,,,,,,,,,,
7,Bengkulu,88,300,388,87,60,147,10,29,39,58,152,210,,,,,,,,,,,,,,
8,Lampung,170,629,799,160,139,299,41,81,122,155,424,579,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,82,243,325,80,45,125,14,65,79,71,221,292,,,,,,,,,,,,,,
10,Kepulauan Riau,58,211,269,75,61,136,22,40,62,80,162,242,,,,,,,,,,,,,,
11,DKI Jakarta,737,1.880,2.617,810,601,1.411,363,609,972,796,1.705,2.501,,,,,,,,,,,,,,
12,Jawa Barat,780,2.283,3.063,670,460,1.130,238,507,745,939,2.077,3.016,,,,,,,,,,,,,,
13,Jawa Tengah,800,3.152,3.952,954,791,1.745,462,868,1.330,996,3.060,4.056,,,,,,,,,,,,,,
14,DI Yogyakarta,169,660,829,209,182,391,121,213,334,230,868,1.098,,,,,,,,,,,,,,
15,Jawa Timur,794,3.279,4.073,926,706,1.632,339,563,902,1.017,2.279,3.296,,,,,,,,,,,,,,
16,Banten,173,632,805,181,174,355,73,196,269,181,419,600,,,,,,,,,,,,,,
17,Bali,167,462,629,242,113,355,68,59,127,151,448,599,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,161,539,700,167,94,261,46,92,138,242,413,655,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,175,490,665,78,69,147,25,67,92,181,567,748,,,,,,,,,,,,,,
20,Kalimantan Barat,182,438,620,105,48,153,23,57,80,228,441,669,,,,,,,,,,,,,,
21,Kalimantan Tengah,131,335,466,93,40,133,20,31,51,117,234,351,,,,,,,,,,,,,,
22,Kalimantan Selatan,174,620,794,130,71,201,37,52,89,193,551,744,,,,,,,,,,,,,,
23,Kalimantan Timur,159,461,620,99,63,162,41,78,119,111,204,315,,,,,,,,,,,,,,
24,Kalimantan Utara,41,94,135,38,21,59,8,13,21,48,59,107,,,,,,,,,,,,,,
25,Sulawesi Utara,66,132,198,36,15,51,32,57,89,65,280,345,,,,,,,,,,,,,,
26,Sulawesi Tengah,103,229,332,50,46,96,10,57,67,97,154,251,,,,,,,,,,,,,,
27,Sulawesi Selatan,218,890,1.108,193,279,472,76,197,273,233,889,1.122,,,,,,,,,,,,,,
28,Sulawesi Tenggara,110,350,460,54,59,113,15,61,76,96,286,382,,,,,,,,,,,,,,
29,Gorontalo,42,90,132,31,23,54,10,10,20,17,70,87,,,,,,,,,,,,,,
30,Sulawesi Barat,40,89,129,12,26,38,7,21,28,26,82,108,,,,,,,,,,,,,,
31,Maluku,35,137,172,33,21,54,3,25,28,28,65,93,,,,,,,,,,,,,,
32,Maluku Utara,49,175,224,23,49,72,9,19,28,30,48,78,,,,,,,,,,,,,,
33,Papua Barat,59,135,194,18,19,37,4,17,21,27,50,77,,,,,,,,,,,,,,
34,Papua,151,400,551,40,24,64,10,20,30,51,80,131,,,,,,,,,,,,,,
Indonesia,,6.712,23.930,30.642,6.480,5.282,11.762,2.447,5.002,7.449,7.480,20.549,28.029,,,,,,,,,,,,,,
No,Provinsi,Ahli Teknologi Laboratorium Medik,,,Tenaga Teknik Biomedika Lainnya,,,Keterapian Fisik,,,Keteknisian Medis,,,,,,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,,,,,,,,,
1,Aceh,32,326,358,6,10,16,9,60,69,74,408,482,,,,,,,,,,,,,,
2,Sumatera Utara,73,413,486,4,9,13,9,15,24,59,427,486,,,,,,,,,,,,,,
3,Sumatera Barat,47,297,344,3,4,7,6,12,18,67,502,569,,,,,,,,,,,,,,
4,Riau,36,249,285,0,1,1,3,17,20,22,170,192,,,,,,,,,,,,,,
5,Jambi,48,205,253,1,0,1,2,6,8,48,236,284,,,,,,,,,,,,,,
6,Sumatera Selatan,53,334,387,2,10,12,3,16,19,49,403,452,,,,,,,,,,,,,,
7,Bengkulu,26,113,139,3,6,9,1,0,1,3,54,57,,,,,,,,,,,,,,
8,Lampung,66,257,323,7,4,11,0,3,3,77,293,370,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,27,90,117,2,1,3,1,0,1,26,106,132,,,,,,,,,,,,,,
10,Kepulauan Riau,14,63,77,1,0,1,0,0,0,8,58,66,,,,,,,,,,,,,,
11,DKI Jakarta,116,232,348,12,1,13,2,6,8,80,313,393,,,,,,,,,,,,,,
12,Jawa Barat,200,740,940,15,19,34,8,16,24,275,991,1.266,,,,,,,,,,,,,,
13,Jawa Tengah,217,878,1.095,29,28,57,50,141,191,289,1.092,1.381,,,,,,,,,,,,,,
14,DI Yogyakarta,37,167,204,2,7,9,16,21,37,60,284,344,,,,,,,,,,,,,,
15,Jawa Timur,225,960,1.185,24,26,50,33,54,87,279,779,1.058,,,,,,,,,,,,,,
16,Banten,27,131,158,5,6,11,1,9,10,39,131,170,,,,,,,,,,,,,,
17,Bali,35,99,134,3,1,4,3,2,5,71,199,270,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,56,239,295,20,3,23,3,3,6,98,187,285,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,114,308,422,4,7,11,6,15,21,101,365,466,,,,,,,,,,,,,,
20,Kalimantan Barat,90,217,307,3,2,5,1,1,2,125,273,398,,,,,,,,,,,,,,
21,Kalimantan Tengah,55,164,219,3,1,4,1,0,1,68,154,222,,,,,,,,,,,,,,
22,Kalimantan Selatan,63,280,343,1,2,3,3,5,8,98,345,443,,,,,,,,,,,,,,
23,Kalimantan Timur,45,203,248,0,0,0,1,3,4,43,105,148,,,,,,,,,,,,,,
24,Kalimantan Utara,18,38,56,0,1,1,0,1,1,24,31,55,,,,,,,,,,,,,,
25,Sulawesi Utara,24,28,52,1,1,2,6,16,22,37,208,245,,,,,,,,,,,,,,
26,Sulawesi Tengah,49,108,157,0,0,0,0,2,2,52,77,129,,,,,,,,,,,,,,
27,Sulawesi Selatan,67,366,433,4,9,13,5,15,20,120,480,600,,,,,,,,,,,,,,
28,Sulawesi Tenggara,47,144,191,1,4,5,3,12,15,37,134,171,,,,,,,,,,,,,,
29,Gorontalo,16,38,54,0,0,0,0,0,0,3,31,34,,,,,,,,,,,,,,
30,Sulawesi Barat,22,63,85,0,0,0,0,6,6,13,43,56,,,,,,,,,,,,,,
31,Maluku,8,44,52,2,1,3,1,5,6,12,26,38,,,,,,,,,,,,,,
32,Maluku Utara,24,82,106,1,3,4,1,3,4,8,27,35,,,,,,,,,,,,,,
33,Papua Barat,25,71,96,1,0,1,0,1,1,9,22,31,,,,,,,,,,,,,,
34,Papua,87,218,305,1,2,3,0,2,2,12,35,47,,,,,,,,,,,,,,
Indonesia,,2.089,8.165,10.254,161,169,330,178,468,646,2.386,8.989,11.375,,,,,,,,,,,,,,
No,Provinsi,Tenaga Kefarmasian,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tenaga Kefarmasiana,,,Apoteker,,,Total,,,,,,,,,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,
1,Aceh,128,949,1.077,50,272,322,178,1.221,1.399,,,,,,,,,,,,,,,,,
2,Sumatera Utara,183,1.384,1.567,100,445,545,283,1.829,2.112,,,,,,,,,,,,,,,,,
3,Sumatera Barat,122,1.010,1.132,61,332,393,183,1.342,1.525,,,,,,,,,,,,,,,,,
4,Riau,118,772,890,62,336,398,180,1.108,1.288,,,,,,,,,,,,,,,,,
5,Jambi,88,642,730,59,278,337,147,920,1.067,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,190,1.103,1.293,82,309,391,272,1.412,1.684,,,,,,,,,,,,,,,,,
7,Bengkulu,75,361,436,33,167,200,108,528,636,,,,,,,,,,,,,,,,,
8,Lampung,140,547,687,73,238,311,213,785,998,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,86,379,465,54,172,226,140,551,691,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,82,279,361,54,169,223,136,448,584,,,,,,,,,,,,,,,,,
11,DKI Jakarta,847,3.807,4.654,374,1.275,1.649,1.221,5.082,6.303,,,,,,,,,,,,,,,,,
12,Jawa Barat,980,4.013,4.993,591,1.840,2.431,1.571,5.853,7.424,,,,,,,,,,,,,,,,,
13,Jawa Tengah,817,5.539,6.356,533,2.830,3.363,1.350,8.369,9.719,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,140,1.007,1.147,96,650,746,236,1.657,1.893,,,,,,,,,,,,,,,,,
15,Jawa Timur,834,5.279,6.113,528,2.310,2.838,1.362,7.589,8.951,,,,,,,,,,,,,,,,,
16,Banten,204,1.060,1.264,110,518,628,314,1.578,1.892,,,,,,,,,,,,,,,,,
17,Bali,118,673,791,162,236,398,280,909,1.189,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,180,376,556,86,241,327,266,617,883,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,124,524,648,38,152,190,162,676,838,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,129,440,569,72,197,269,201,637,838,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,99,323,422,57,214,271,156,537,693,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,172,734,906,85,265,350,257,999,1.256,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,171,559,730,85,278,363,256,837,1.093,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,46,160,206,35,93,128,81,253,334,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,82,320,402,36,162,198,118,482,600,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,106,539,645,65,225,290,171,764,935,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,190,1.063,1.253,167,887,1.054,357,1.950,2.307,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,98,449,547,73,317,390,171,766,937,,,,,,,,,,,,,,,,,
29,Gorontalo,30,186,216,25,106,131,55,292,347,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,26,130,156,33,90,123,59,220,279,,,,,,,,,,,,,,,,,
31,Maluku,30,129,159,15,148,163,45,277,322,,,,,,,,,,,,,,,,,
32,Maluku Utara,27,144,171,27,116,143,54,260,314,,,,,,,,,,,,,,,,,
33,Papua Barat,28,93,121,25,95,120,53,188,241,,,,,,,,,,,,,,,,,
34,Papua,109,265,374,36,171,207,145,436,581,,,,,,,,,,,,,,,,,
Indonesia,,6.799,35.238,42.037,3.982,16.134,20.116,10.781,51.372,62.153,,,,,,,,,,,,,,,,,
No,Provinsi,Tenaga Kefarmasian,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tenaga Kefarmasiana,,,Apoteker,,,Total,,,,,,,,,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,
1,Aceh,39,421,460,18,83,101,57,504,561,,,,,,,,,,,,,,,,,
2,Sumatera Utara,66,578,644,26,154,180,92,732,824,,,,,,,,,,,,,,,,,
3,Sumatera Barat,38,323,361,17,91,108,55,414,469,,,,,,,,,,,,,,,,,
4,Riau,33,284,317,26,109,135,59,393,452,,,,,,,,,,,,,,,,,
5,Jambi,25,226,251,12,63,75,37,289,326,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,64,425,489,27,104,131,91,529,620,,,,,,,,,,,,,,,,,
7,Bengkulu,18,119,137,9,42,51,27,161,188,,,,,,,,,,,,,,,,,
8,Lampung,52,207,259,20,88,108,72,295,367,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,13,98,111,22,45,67,35,143,178,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,17,71,88,20,64,84,37,135,172,,,,,,,,,,,,,,,,,
11,DKI Jakarta,146,508,654,37,118,155,183,626,809,,,,,,,,,,,,,,,,,
12,Jawa Barat,217,909,1.126,161,486,647,378,1.395,1.773,,,,,,,,,,,,,,,,,
13,Jawa Tengah,161,881,1.042,104,447,551,265,1.328,1.593,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,24,142,166,13,99,112,37,241,278,,,,,,,,,,,,,,,,,
15,Jawa Timur,156,880,1.036,74,317,391,230,1.197,1.427,,,,,,,,,,,,,,,,,
16,Banten,31,124,155,29,150,179,60,274,334,,,,,,,,,,,,,,,,,
17,Bali,28,122,150,27,55,82,55,177,232,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,55,141,196,25,76,101,80,217,297,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,73,311,384,14,58,72,87,369,456,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,45,213,258,30,81,111,75,294,369,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,58,161,219,29,96,125,87,257,344,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,64,273,337,41,122,163,105,395,500,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,54,234,288,36,113,149,90,347,437,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,14,58,72,14,33,47,28,91,119,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,36,140,176,17,53,70,53,193,246,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,49,294,343,27,94,121,76,388,464,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,50,403,453,41,289,330,91,692,783,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,44,220,264,34,135,169,78,355,433,,,,,,,,,,,,,,,,,
29,Gorontalo,9,93,102,9,49,58,18,142,160,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,14,73,87,22,51,73,36,124,160,,,,,,,,,,,,,,,,,
31,Maluku,7,53,60,2,48,50,9,101,110,,,,,,,,,,,,,,,,,
32,Maluku Utara,13,61,74,14,48,62,27,109,136,,,,,,,,,,,,,,,,,
33,Papua Barat,11,52,63,6,38,44,17,90,107,,,,,,,,,,,,,,,,,
34,Papua,57,129,186,15,69,84,72,198,270,,,,,,,,,,,,,,,,,
Indonesia,,1.781,9.227,11.008,1.018,3.968,4.986,2.799,13.195,15.994,,,,,,,,,,,,,,,,,
No,Provinsi,Tenaga Psikologi Klinis,,,Tenaga Kesehatan Tradisional,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tenaga Kesehatan Tradisional Ramuan,,,Tenaga Kesehatan Tradisional Keterampilan,,,,,,,,,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,
1,Aceh,14,68,82,0,0,0,0,4,4,,,,,,,,,,,,,,,,,
2,Sumatera Utara,2,28,30,0,2,2,0,6,6,,,,,,,,,,,,,,,,,
3,Sumatera Barat,6,30,36,0,6,6,0,0,0,,,,,,,,,,,,,,,,,
4,Riau,2,34,36,2,0,2,0,0,0,,,,,,,,,,,,,,,,,
5,Jambi,4,14,18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,14,66,80,10,6,16,0,8,8,,,,,,,,,,,,,,,,,
7,Bengkulu,8,10,18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
8,Lampung,4,12,16,0,0,0,0,22,22,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,4,14,18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,2,12,14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
11,DKI Jakarta,14,128,142,42,54,96,58,112,170,,,,,,,,,,,,,,,,,
12,Jawa Barat,12,84,96,0,0,0,12,2,14,,,,,,,,,,,,,,,,,
13,Jawa Tengah,30,188,218,4,2,6,2,14,16,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,6,130,136,0,12,12,0,2,2,,,,,,,,,,,,,,,,,
15,Jawa Timur,36,158,194,10,44,54,10,42,52,,,,,,,,,,,,,,,,,
16,Banten,2,4,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
17,Bali,8,38,46,2,0,2,0,10,10,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,4,32,36,2,0,2,0,0,0,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,2,8,10,2,4,6,0,0,0,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,6,20,26,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,4,10,14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,6,54,60,0,0,0,8,4,12,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,2,8,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,2,8,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,4,14,18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,12,22,34,0,0,0,0,2,2,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,6,8,14,0,2,2,0,0,0,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,4,14,18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
29,Gorontalo,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
31,Maluku,4,8,12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
32,Maluku Utara,2,4,6,0,0,0,0,4,4,,,,,,,,,,,,,,,,,
33,Papua Barat,0,8,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
