No,Fasilitas Kesehatan,Pemilikan/Pengelola,,,,,,,,,,,,,,,,,
,,Kemenkes,,Pemerintah Provinsi,,Pemerintah Kab/Kota,,TNI/POLRI,,BUMN/Kementerian Lain*,,Swasta,,Jumlah,,,,,
19,Nusa Tenggara Timur,50,256,306,29,124,153,79,380,459,,,,,,,,,
20,Kalimantan Barat,93,254,347,49,125,174,142,379,521,,,,,,,,,
21,Kalimantan Tengah,45,162,207,33,118,151,78,280,358,,,,,,,,,
22,Kalimantan Selatan,125,458,583,48,149,197,173,607,780,,,,,,,,,
23,Kalimantan Timur,188,429,617,66,203,269,254,632,886,,,,,,,,,
24,Kalimantan Utara,36,119,155,26,53,79,62,172,234,,,,,,,,,
25,Sulawesi Utara,78,232,310,36,115,151,114,347,461,,,,,,,,,
26,Sulawesi Tengah,69,285,354,45,155,200,114,440,554,,,,,,,,,
27,Sulawesi Selatan,175,788,963,112,547,659,287,1.335,1.622,,,,,,,,,
28,Sulawesi Tenggara,48,234,282,35,179,214,83,413,496,,,,,,,,,
29,Gorontalo,29,99,128,15,59,74,44,158,202,,,,,,,,,
30,Sulawesi Barat,18,75,93,12,51,63,30,126,156,,,,,,,,,
31,Maluku,17,72,89,9,80,89,26,152,178,,,,,,,,,
32,Maluku Utara,11,79,90,13,60,73,24,139,163,,,,,,,,,
33,Papua Barat,26,67,93,13,63,76,39,130,169,,,,,,,,,
34,Papua,58,153,211,30,113,143,88,266,354,,,,,,,,,
Indonesia,,5.621,26.375,31.996,2.555,10.666,13.221,8.176,37.041,45.217,,,,,,,,,
No,Provinsi,Tenaga Penunjang/Pendukung Kesehatan,,,,,,,,,Total,,,,,,,,
,,Pejabat Struktural,,,Tenaga Pendidik,,,Tenaga Dukungan Manajemen,,,,,,,,,,,
,,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,
1,Aceh,560,523,1.083,8,12,20,4.671,5.237,9.908,5.239,5.772,11.011,,,,,,
2,Sumatera Utara,617,936,1.553,6,14,20,4.913,6.420,11.333,5.536,7.370,12.906,,,,,,
3,Sumatera Barat,341,718,1.059,1,8,9,3.146,4.079,7.225,3.488,4.805,8.293,,,,,,
4,Riau,374,421,795,4,7,11,3.721,4.078,7.799,4.099,4.506,8.605,,,,,,
5,Jambi,403,334,737,2,4,6,2.208,2.782,4.990,2.613,3.120,5.733,,,,,,
6,Sumatera Selatan,473,656,1.129,5,8,13,4.652,5.491,10.143,5.130,6.155,11.285,,,,,,
7,Bengkulu,287,269,556,3,5,8,1.213,1.484,2.697,1.503,1.758,3.261,,,,,,
8,Lampung,489,508,997,6,24,30,4.262,5.084,9.346,4.757,5.616,10.373,,,,,,
9,Kepulauan Bangka Belitung,185,241,426,0,0,0,1.717,1.867,3.584,1.902,2.108,4.010,,,,,,
10,Kepulauan Riau,251,259,510,14,52,66,1.900,1.977,3.877,2.165,2.288,4.453,,,,,,
11,DKI Jakarta,812,1.082,1.894,16,5,21,18.936,16.466,35.402,19.764,17.553,37.317,,,,,,
12,Jawa Barat,1.936,1.843,3.779,10,20,30,25.678,21.168,46.846,27.624,23.031,50.655,,,,,,
13,Jawa Tengah,1.859,1.769,3.628,46,112,158,25.150,23.955,49.105,27.055,25.836,52.891,,,,,,
14,DI Yogyakarta,309,370,679,4,5,9,4.648,4.937,9.585,4.961,5.312,10.273,,,,,,
15,Jawa Timur,1.637,1.870,3.507,43,32,75,26.579,24.399,50.978,28.259,26.301,54.560,,,,,,
16,Banten,384,546,930,2,3,5,6.109,5.496,11.605,6.495,6.045,12.540,,,,,,
17,Bali,463,417,880,5,9,14,5.430,6.463,11.893,5.898,6.889,12.787,,,,,,
18,Nusa Tenggara Barat,493,255,748,53,86,139,3.938,2.718,6.656,4.484,3.059,7.543,,,,,,
19,Nusa Tenggara Timur,380,408,788,3,6,9,2.573,2.385,4.958,2.956,2.799,5.755,,,,,,
20,Kalimantan Barat,436,265,701,1,0,1,2.384,2.715,5.099,2.821,2.980,5.801,,,,,,
21,Kalimantan Tengah,393,258,651,0,1,1,1.928,2.205,4.133,2.321,2.464,4.785,,,,,,
22,Kalimantan Selatan,544,373,917,9,7,16,3.685,3.609,7.294,4.238,3.989,8.227,,,,,,
23,Kalimantan Timur,444,369,813,2,2,4,4.090,4.148,8.238,4.536,4.519,9.055,,,,,,
24,Kalimantan Utara,123,108,231,1,0,1,1.172,1.025,2.197,1.296,1.133,2.429,,,,,,
25,Sulawesi Utara,238,362,600,2,6,8,1.713,2.107,3.820,1.953,2.475,4.428,,,,,,
26,Sulawesi Tengah,316,329,645,0,11,11,1.878,2.300,4.178,2.194,2.640,4.834,,,,,,
27,Sulawesi Selatan,552,723,1.275,7,9,16,3.621,4.504,8.125,4.180,5.236,9.416,,,,,,
28,Sulawesi Tenggara,345,364,709,4,5,9,1.171,1.547,2.718,1.520,1.916,3.436,,,,,,
29,Gorontalo,140,197,337,0,2,2,877,1.262,2.139,1.017,1.461,2.478,,,,,,
30,Sulawesi Barat,134,157,291,0,0,0,704,803,1.507,838,960,1.798,,,,,,
31,Maluku,192,203,395,2,5,7,833,1.057,1.890,1.027,1.265,2.292,,,,,,
32,Maluku Utara,176,164,340,0,0,0,467,599,1.066,643,763,1.406,,,,,,
33,Papua Barat,240,150,390,0,0,0,716,702,1.418,956,852,1.808,,,,,,
34,Papua,472,359,831,8,9,17,1.722,1.759,3.481,2.202,2.127,4.329,,,,,,
Indonesia,,16.998,17.806,34.804,267,469,736,178.405,176.828,355.233,195.670,195.103,390.773,,,,,,
No,Provinsi,Tenaga Penunjang/Pendukung Kesehatan,,,,,,,,,Total,,,,,,,,
,,Pejabat Struktural,,,Tenaga Pendidik,,,Tenaga Dukungan Manajemen,,,,,,,,,,,
,,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,
1,Aceh,231,174,405,2,0,2,2.785,2.834,5.619,3.018,3.008,6.026,,,,,,
2,Sumatera Utara,244,383,627,0,3,3,3.443,4.572,8.015,3.687,4.958,8.645,,,,,,
3,Sumatera Barat,144,317,461,0,1,1,1.848,2.469,4.317,1.992,2.787,4.779,,,,,,
4,Riau,158,192,350,1,1,2,2.402,2.655,5.057,2.561,2.848,5.409,,,,,,
5,Jambi,116,131,247,0,0,0,1.391,1.680,3.071,1.507,1.811,3.318,,,,,,
6,Sumatera Selatan,144,293,437,1,2,3,3.315,3.597,6.912,3.460,3.892,7.352,,,,,,
7,Bengkulu,84,88,172,2,0,2,713,799,1.512,799,887,1.686,,,,,,
8,Lampung,154,230,384,2,2,4,2.658,2.984,5.642,2.814,3.216,6.030,,,,,,
9,Kepulauan Bangka Belitung,80,93,173,0,0,0,1.047,965,2.012,1.127,1.058,2.185,,,,,,
10,Kepulauan Riau,84,87,171,1,2,3,1.116,1.074,2.190,1.201,1.163,2.364,,,,,,
11,DKI Jakarta,713,939,1.652,1,1,2,14.935,13.530,28.465,15.649,14.470,30.119,,,,,,
12,Jawa Barat,910,974,1.884,3,10,13,18.371,14.752,33.123,19.284,15.736,35.020,,,,,,
13,Jawa Tengah,930,896,1.826,3,11,14,16.362,14.993,31.355,17.295,15.900,33.195,,,,,,
14,DI Yogyakarta,185,189,374,2,0,2,3.136,3.019,6.155,3.323,3.208,6.531,,,,,,
15,Jawa Timur,922,1.096,2.018,16,10,26,17.401,15.339,32.740,18.339,16.445,34.784,,,,,,
16,Banten,190,274,464,1,2,3,3.806,3.988,7.794,3.997,4.264,8.261,,,,,,
17,Bali,251,271,522,1,1,2,3.258,4.206,7.464,3.510,4.478,7.988,,,,,,
18,Nusa Tenggara Barat,159,94,253,5,8,13,2.320,1.600,3.920,2.484,1.702,4.186,,,,,,
19,Nusa Tenggara Timur,94,130,224,0,3,3,1.122,1.184,2.306,1.216,1.317,2.533,,,,,,
20,Kalimantan Barat,124,95,219,0,0,0,1.294,1.559,2.853,1.418,1.654,3.072,,,,,,
21,Kalimantan Tengah,100,92,192,0,1,1,1.077,1.231,2.308,1.177,1.324,2.501,,,,,,
22,Kalimantan Selatan,163,128,291,0,0,0,2.492,2.351,4.843,2.655,2.479,5.134,,,,,,
23,Kalimantan Timur,171,156,327,0,0,0,2.689,2.601,5.290,2.860,2.757,5.617,,,,,,
24,Kalimantan Utara,40,39,79,1,0,1,718,650,1.368,759,689,1.448,,,,,,
25,Sulawesi Utara,115,189,304,0,2,2,1.187,1.386,2.573,1.302,1.577,2.879,,,,,,
26,Sulawesi Tengah,120,138,258,0,0,0,1.115,1.349,2.464,1.235,1.487,2.722,,,,,,
27,Sulawesi Selatan,230,316,546,5,2,7,2.298,2.890,5.188,2.533,3.208,5.741,,,,,,
28,Sulawesi Tenggara,84,96,180,1,0,1,630,768,1.398,715,864,1.579,,,,,,
29,Gorontalo,48,76,124,0,0,0,526,656,1.182,574,732,1.306,,,,,,
30,Sulawesi Barat,23,38,61,0,0,0,322,387,709,345,425,770,,,,,,
31,Maluku,81,90,171,0,4,4,416,624,1.040,497,718,1.215,,,,,,
32,Maluku Utara,30,42,72,0,0,0,238,328,566,268,370,638,,,,,,
33,Papua Barat,50,30,80,0,0,0,397,396,793,447,426,873,,,,,,
34,Papua,67,80,147,0,0,0,668,710,1.378,735,790,1.525,,,,,,
Indonesia,,7.239,8.456,15.695,48,66,114,117.496,114.126,231.622,124.783,122.648,247.431,,,,,,
No,Provinsi,Tenaga Psikologi Klinis,,,Tenaga Kesehatan Tradisional,,,,,,,,,,,,,,
,,,,,Tenaga Kesehatan Tradisional Ramuan,,,Tenaga Kesehatan Tradisional Keterampilan,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,
1,Aceh,8,51,59,0,0,0,0,1,1,,,,,,,,,
2,Sumatera Utara,3,19,22,0,0,0,0,2,2,,,,,,,,,
3,Sumatera Barat,3,15,18,0,1,1,0,0,0,,,,,,,,,
4,Riau,1,16,17,1,0,1,0,0,0,,,,,,,,,
5,Jambi,0,8,8,0,0,0,0,0,0,,,,,,,,,
6,Sumatera Selatan,6,31,37,0,0,0,0,0,0,,,,,,,,,
7,Bengkulu,2,6,8,0,0,0,1,0,1,,,,,,,,,
8,Lampung,3,5,8,0,3,3,0,13,13,,,,,,,,,
9,Kepulauan Bangka Belitung,1,6,7,0,0,0,0,0,0,,,,,,,,,
10,Kepulauan Riau,1,8,9,0,0,0,0,0,0,,,,,,,,,
11,DKI Jakarta,10,73,83,20,21,41,26,73,99,,,,,,,,,
12,Jawa Barat,5,56,61,0,0,0,10,1,11,,,,,,,,,
13,Jawa Tengah,22,108,130,2,1,3,1,7,8,,,,,,,,,
14,DI Yogyakarta,6,69,75,0,1,1,0,0,0,,,,,,,,,
15,Jawa Timur,22,96,118,6,32,38,9,29,38,,,,,,,,,
16,Banten,3,14,17,0,0,0,0,0,0,,,,,,,,,
17,Bali,3,20,23,1,0,1,0,5,5,,,,,,,,,
18,Nusa Tenggara Barat,2,11,13,0,0,0,0,0,0,,,,,,,,,
19,Nusa Tenggara Timur,1,5,6,0,1,1,0,0,0,,,,,,,,,
20,Kalimantan Barat,5,14,19,0,0,0,1,0,1,,,,,,,,,
21,Kalimantan Tengah,3,7,10,0,0,0,0,0,0,,,,,,,,,
22,Kalimantan Selatan,2,26,28,0,0,0,0,0,0,,,,,,,,,
23,Kalimantan Timur,1,6,7,0,0,0,0,0,0,,,,,,,,,
24,Kalimantan Utara,1,3,4,0,0,0,0,0,0,,,,,,,,,
25,Sulawesi Utara,4,5,9,0,0,0,0,0,0,,,,,,,,,
26,Sulawesi Tengah,8,16,24,0,0,0,0,0,0,,,,,,,,,
27,Sulawesi Selatan,3,8,11,0,1,1,0,0,0,,,,,,,,,
28,Sulawesi Tenggara,3,5,8,0,0,0,0,0,0,,,,,,,,,
29,Gorontalo,0,0,0,0,0,0,0,0,0,,,,,,,,,
30,Sulawesi Barat,0,0,0,0,0,0,0,0,0,,,,,,,,,
31,Maluku,2,6,8,0,0,0,0,0,0,,,,,,,,,
32,Maluku Utara,0,1,1,0,0,0,0,2,2,,,,,,,,,
33,Papua Barat,0,4,4,0,0,0,0,0,0,,,,,,,,,
34,Papua,1,2,3,0,1,1,29,35,64,,,,,,,,,
Indonesia,,135,720,855,30,62,92,77,168,245,,,,,,,,,
No,Provinsi,Tenaga Psikologi Klinis,,,Tenaga Kesehatan Tradisional,,,,,,,,,,,,,,
,,,,,Tenaga Kesehatan Tradisional Ramuan,,,Tenaga Kesehatan Tradisional Keterampilan,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,
1,Aceh,5,31,36,0,0,0,0,0,0,,,,,,,,,
2,Sumatera Utara,3,18,21,0,0,0,0,0,0,,,,,,,,,
3,Sumatera Barat,3,14,17,0,0,0,0,0,0,,,,,,,,,
4,Riau,1,15,16,1,0,1,0,0,0,,,,,,,,,
5,Jambi,0,8,8,0,0,0,0,0,0,,,,,,,,,
6,Sumatera Selatan,4,24,28,0,0,0,0,0,0,,,,,,,,,
7,Bengkulu,2,4,6,0,0,0,0,0,0,,,,,,,,,
8,Lampung,3,4,7,0,0,0,0,0,0,,,,,,,,,
9,Kepulauan Bangka Belitung,0,6,6,0,0,0,0,0,0,,,,,,,,,
10,Kepulauan Riau,0,8,8,0,0,0,0,0,0,,,,,,,,,
11,DKI Jakarta,5,52,57,0,0,0,0,0,0,,,,,,,,,
12,Jawa Barat,5,45,50,0,0,0,0,0,0,,,,,,,,,
13,Jawa Tengah,21,103,124,0,0,0,0,0,0,,,,,,,,,
14,DI Yogyakarta,3,19,22,0,1,1,0,0,0,,,,,,,,,
15,Jawa Timur,12,50,62,1,4,5,3,2,5,,,,,,,,,
16,Banten,3,12,15,0,0,0,0,0,0,,,,,,,,,
17,Bali,3,16,19,0,0,0,0,0,0,,,,,,,,,
18,Nusa Tenggara Barat,2,11,13,0,0,0,0,0,0,,,,,,,,,
19,Nusa Tenggara Timur,1,5,6,0,0,0,0,0,0,,,,,,,,,
20,Kalimantan Barat,4,12,16,0,0,0,0,0,0,,,,,,,,,
21,Kalimantan Tengah,2,7,9,0,0,0,0,0,0,,,,,,,,,
22,Kalimantan Selatan,1,25,26,0,0,0,0,0,0,,,,,,,,,
23,Kalimantan Timur,1,5,6,0,0,0,0,0,0,,,,,,,,,
24,Kalimantan Utara,1,2,3,0,0,0,0,0,0,,,,,,,,,
25,Sulawesi Utara,3,5,8,0,0,0,0,0,0,,,,,,,,,
26,Sulawesi Tengah,7,10,17,0,0,0,0,0,0,,,,,,,,,
27,Sulawesi Selatan,3,3,6,0,0,0,0,0,0,,,,,,,,,
28,Sulawesi Tenggara,3,5,8,0,0,0,0,0,0,,,,,,,,,
29,Gorontalo,0,0,0,0,0,0,0,0,0,,,,,,,,,
30,Sulawesi Barat,0,0,0,0,0,0,0,0,0,,,,,,,,,
31,Maluku,2,6,8,0,0,0,0,0,0,,,,,,,,,
32,Maluku Utara,0,0,0,0,0,0,0,0,0,,,,,,,,,
33,Papua Barat,0,4,4,0,0,0,0,0,0,,,,,,,,,
34,Papua,0,2,2,0,0,0,1,1,2,,,,,,,,,
Indonesia,,103,531,634,2,5,7,4,3,7,,,,,,,,,
